"#",Jurisdiction,Lens ID,Publication Date,Application Number,Application Date,Title,Applicants,Owners,Cites Patent Count,Cited by Patent Count,CPC Classifications,IPCR Classifications,US Classifications
938,US,037-688-244-131-658,2006-06-27,US 65091903 A,2003-08-29,"Polyolefin macromonomer, graft polymer obtained from the polyolefin macromonomer, and use thereof",MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (2003-09-18),8,7,C08G18/6204;;C08F290/042;;C08F299/00;;C08F12/12;;C08G18/6204;;C08F290/042;;C08F299/00,C08F4/42;;C08F8/00;;C08F10/00;;C08F12/12;;C08F110/06;;C08F290/04;;C08F297/06;;C08F299/00;;C08G18/62;;C08G63/91,525/245;;525/242;;525/69;;526/114;;526/351
939,EP,059-953-810-473-365,2000-05-03,EP 99120894 A,1999-10-28,Crosslinked olefin elastomer foam and elastomer composition therefor,MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (2005-02-01)",3,13,C08J9/0061;;C08J9/0023;;C08J9/08;;C08J2323/02;;C08J2323/06;;C08J2323/16;;C08J2423/00;;C08L23/0815;;C08L23/10;;C08L2203/14;;C08L2205/02;;C08L2312/00;;C08J9/00;;C08J9/0061;;C08J9/0023;;C08J9/08;;C08J2323/02;;C08J2323/06;;C08J2323/16;;C08J2423/00;;C08L23/0815;;C08L23/10;;C08L2203/14;;C08L2205/02;;C08L2312/00,C08J9/00;;C08J9/08;;C08L23/08;;C08L23/10,
940,EP,076-574-588-455-268,2011-09-28,EP 00122846 A,1994-06-06,"Transition metal compound, olefin polymerization catalyst component comprising said compound, olefin polymerization catalyst containing said component, process for olefin polymerization using said catalyst, propylene homopolymer, propylene copolymer and propylene elastomer",MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (2004-12-01)",5,0,C08F210/16;;C07C45/46;;C07C49/67;;C07C49/697;;C07F17/00;;C08F4/61912;;C08F4/61927;;C08F4/65908;;C08F4/65912;;C08F4/65916;;C08F4/65927;;C08F10/00;;C08F10/06;;C08F110/06;;C08F210/06;;Y10S526/904;;Y10S526/943;;C07F17/00;;C08F4/6428;;C08F4/65927;;C08F10/06;;C08F110/06;;C08F210/06;;C08F210/16;;C07C45/46;;C07C49/67;;C07C49/697;;C07F17/00;;C08F4/61912;;C08F4/61927;;C08F4/65908;;C08F4/65912;;C08F4/65916;;C08F4/65927;;C08F10/00;;C08F10/06;;C08F110/06;;C08F210/06;;Y10S526/904;;Y10S526/943,C07F17/00;;C07C45/46;;C07C49/67;;C07C49/697;;C08F4/60;;C08F4/602;;C08F4/619;;C08F4/6192;;C08F4/64;;C08F4/642;;C08F4/659;;C08F4/6592;;C08F10/00;;C08F10/06;;C08F110/06;;C08F210/06;;C08F210/16,
941,WO,183-841-630-404-898,2019-04-04,JP 2018035740 W,2018-09-26,MELT-BLOWN NONWOVEN FABRIC AND FILTER,MITSUI CHEMICALS INC,,12,0,D04H1/56;;B01D39/163;;B01D2239/0216;;B01D2239/0609;;B01D2239/0613;;B01D2239/0622;;B01D2239/0627;;B01D2239/065;;B01D2239/0654;;B01D2239/0668;;B01D2239/1208;;B01D2239/1216;;B01D2239/1233;;B01D2239/1258;;B01D2239/1291;;B32B5/022;;B32B5/024;;B32B5/026;;B32B5/18;;B32B5/245;;B32B5/26;;B32B29/02;;B32B2250/02;;B32B2250/20;;B32B2262/0253;;B32B2266/0278;;B32B2307/718;;B32B2307/724;;D04H1/4291;;D04H3/007;;D04H3/16;;B01D39/1623;;B01D2239/0622;;B01D2239/1233;;D04H3/007;;D04H3/16;;B01D39/1623;;B01D2239/0618;;B01D2239/0622;;B01D2239/065;;B01D2239/1233;;B01D2239/1291;;C08L23/10;;C08L2203/12;;C08L2205/025;;D04H3/007;;D04H3/16,D04H3/16;;B01D39/16;;D04H3/007,
942,EP,065-687-597-184-975,2005-04-13,EP 99111976 A,1999-06-28,Thermoplastic elastomer based on olefin and process for producing the same,MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (2004-12-01)",3,0,C08L23/06;;C08L23/04;;C08L23/12;;C08L23/16;;C08L2205/02;;C08L2207/04;;C08L23/06;;C08L23/08;;C08L23/16;;C08L23/06;;C08L23/04;;C08L23/12;;C08L23/16;;C08L2205/02;;C08L2207/04,C08L23/04;;C08L23/06;;C08L23/08;;C08L23/12;;C08L23/16,
943,US,171-371-548-071-415,2008-09-11,US 98444007 A,2007-11-16,"Catalyst for olefin polymerization, method for producing olefin polymer, method for producing propylene-based copolymer, propylene polymer, propylene-based polymer composition, and use of those",MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (2008-04-09),19,57,C08F210/06;;C08F4/65908;;C08F4/65912;;C08F4/65916;;C08F10/00;;C08J5/18;;C08J2323/10;;C08L23/14;;C08L23/142;;C08L2205/025;;C08L2205/03;;C08L2314/06;;Y10T428/1397;;C08F4/642;;C08F4/64;;C08F10/00;;C08L23/00;;C08F210/06;;C08F4/65908;;C08F4/65912;;C08F4/65916;;C08F10/00;;C08F2420/00;;C08F2500/01;;C08F2500/03;;C08F2500/11;;C08F2500/16;;C08F2500/17;;C08F2800/10;;C08J5/18;;C08J2323/10;;C08L23/14;;C08L23/142;;C08L2203/00;;C08L2203/16;;C08L2205/025;;C08L2205/03;;C08L2207/04;;C08L2207/12;;C08L2314/06;;Y10T428/1397,C08F4/42;;B01J31/00;;C08F210/06;;C08L23/10,428/36.92;;526/154;;526/348;;525/240;;525/54.4;;502/152;;428/220
944,WO,141-565-349-448-707,2020-07-16,JP 2020000060 W,2020-01-06,ADHESIVE RESIN COMPOSITION AND LAYERED BODY,MITSUI CHEMICALS INC,,16,9,B65D65/40;;C08L23/10;;C09J123/14;;C09J123/10;;C08L2205/035;;B32B7/12;;B32B2250/24;;B32B2307/518;;B32B27/306;;B32B2307/306;;B32B27/34;;B32B27/365;;B32B2307/7242;;B32B27/288;;B32B2439/70;;B32B2270/00;;B32B2250/05;;B32B27/08;;B32B27/32;;B32B7/12;;B32B27/08;;B32B2250/05;;B32B2250/24;;B32B2439/46;;B32B2439/70;;C09J123/06;;C09J123/12;;C09J123/18;;C09J151/06,B32B27/30;;B32B27/32;;B32B27/36;;B65D65/40;;C08L23/10;;C09J123/12;;C09J123/20;;C09J123/26,
945,EP,047-632-947-616-985,2021-11-17,EP 20738893 A,2020-01-06,ADHESIVE RESIN COMPOSITION AND LAYERED BODY,MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (2023-05-03)",0,0,B32B7/12;;B32B7/02;;B32B27/08;;B32B27/20;;B32B27/28;;B32B27/285;;B32B27/286;;B32B27/288;;B32B27/30;;B32B27/302;;B32B27/304;;B32B27/306;;B32B27/308;;B32B27/32;;B32B27/322;;B32B27/34;;B32B27/36;;B32B27/365;;B32B27/40;;B32B27/42;;B32B2250/02;;B32B2250/03;;B32B2250/04;;B32B2250/05;;B32B2250/24;;B32B2270/00;;B32B2307/518;;B32B2307/72;;B32B2307/7244;;B32B2307/732;;B32B2307/748;;B32B2439/46;;B32B2439/70;;C08L2205/035;;C09J123/14,B32B27/30;;B32B27/32;;B32B27/36;;B65D65/40;;C08L23/10;;C09J123/12;;C09J123/20;;C09J123/26,
946,JP,042-165-427-926-814,2015-01-19,JP 2013133984 A,2013-06-26,POLYAMIDE RESIN COMPOSITION AND MOLDING COMPOSED OF THE SAME,MITSUI CHEMICALS INC,,2,6,,C08L77/00;;C08K3/00;;C08L51/06,
947,JP,116-914-471-490-34X,2020-09-24,JP 2019055528 A,2019-03-22,"LAMINATE, AND PACKAGE FOR VEGETABLES AND FRUITS",MITSUI CHEMICALS INC;;MITSUI CHEMICALS TOHCELLO INC,,0,0,,B32B27/32;;A23B7/00;;B65D85/50,
