"#",Jurisdiction,Lens ID,Publication Date,Application Number,Application Date,Title,Applicants,Owners,Cites Patent Count,Cited by Patent Count,CPC Classifications,IPCR Classifications,US Classifications
4832,WO,005-866-469-654-810,2017-06-22,EP 2016080756 W,2016-12-13,POLYETHYLENE BASED LAMINATED FILM STRUCTURE WITH BARRIER PROPERTIES,BOREALIS AG,,2,22,B32B27/08;;B32B27/16;;B32B27/32;;B32B2250/242;;B32B2255/10;;B32B2255/20;;B32B2255/205;;B32B2270/00;;B32B2307/30;;B32B2307/31;;B32B2307/406;;B32B2307/412;;B32B2307/50;;B32B2307/516;;B32B2307/72;;B32B2307/7244;;B32B2307/7246;;B32B2439/46;;B32B2439/70;;B32B27/32;;B32B27/08;;B32B27/16;;B32B2250/242;;B32B2255/10;;B32B2255/20;;B32B2307/516;;B32B2307/72;;B32B2307/7244;;B32B2307/7246;;B32B2439/70;;B32B27/08;;B32B27/16;;B32B27/32;;B32B2250/242;;B32B2255/10;;B32B2255/20;;B32B2255/205;;B32B2270/00;;B32B2307/30;;B32B2307/31;;B32B2307/406;;B32B2307/412;;B32B2307/50;;B32B2307/514;;B32B2307/516;;B32B2307/72;;B32B2307/7244;;B32B2307/7246;;B32B2439/46;;B32B2439/70,B32B27/08;;B32B27/16;;B32B27/32,
4833,WO,159-319-466-267-593,2020-08-06,EP 2020051900 W,2020-01-27,POLYMER COMPOSITION,BOREALIS AG,,38,0,B29C48/405;;B29C48/875;;C08L51/003;;C08L51/06;;C09J151/003;;C09J151/06;;B29C48/92;;B29C2948/92704;;B29C48/83;;B29C48/872;;B29C48/21;;B29C48/022;;C08F255/02;;C08F210/16;;C08L51/06;;C08L23/00;;C09J151/003;;C09J151/06;;B29C48/022;;B29C48/0021;;B29C48/405;;B29C48/83;;B29C48/872;;B29C48/875;;B29C48/92;;B29C48/18;;C08F2500/18;;C09J2301/162;;C08F222/06;;C08L23/0815;;C08L23/0853;;C08L23/0869;;C08L51/06;;C08L2203/18;;C09J151/06;;C09J2423/046;;C09J2451/00;;C09J2463/006,C09J151/06;;B29C48/405;;B29C48/875;;C08L51/00;;C08L51/06;;C09J151/00,
4834,US,154-394-748-703-38X,2015-11-24,US 201214002516 A,2012-03-02,Flexible reactor assembly for polymerization of olefins,ERIKSSON ERIK;;BERGSTRA MICHIEL;;NYFORS KLAUS;;WEICKERT GÜNTER;;BOREALIS AG,BOREALIS AG (2013-08-05),91,4,B01J8/388;;B01J8/1827;;B01J8/1872;;B01J19/2465;;B01J2208/00274;;B01J2219/0004;;B01J2219/00254;;C08F10/00;;C08F110/06;;B01J8/26;;B01J7/00;;B01J8/388;;B01J8/1827;;B01J8/1872;;B01J19/2465;;B01J2208/00274;;B01J2219/0004;;B01J2219/00254;;C08F10/00;;C08F110/06,C08F2/01;;B01J8/18;;B01J8/24;;B01J8/38;;B01J19/24;;C08F2/34;;C08F10/00;;C08F10/02;;C08F110/06;;C08F210/08,
4835,EP,004-313-213-781-879,2023-03-08,EP 21194405 A,2021-09-01,GAS PHASE POLYMERIZATION PROCESS WITH IMPROVED GAS RECYCLING,BOREALIS AG,,68,0,B01J8/18;;B01J2208/00539;;B01J2219/00162;;B01J8/24;;B01J19/1837;;C08F10/00;;C08F6/001;;C08J11/02;;C08J2323/02;;C08F2/01;;C08F2/34;;C08F6/001,B01J8/18;;B01J8/24;;B01J19/18;;C08F8/00;;C08F10/00,
4836,WO,041-569-190-087-93X,2023-03-09,EP 2022074089 W,2022-08-30,GAS PHASE POLYMERIZATION PROCESS WITH IMPROVED GAS RECYCLING,BOREALIS AG,,68,0,B01J8/18;;B01J2208/00539;;B01J2219/00162;;B01J8/24;;B01J19/1837;;C08F10/00;;C08F6/001;;C08J11/02;;C08J2323/02;;C08F2/01;;C08F2/34;;C08F6/001,B01J8/18;;B01J8/24;;B01J19/18;;C08F8/00;;C08F10/00,
4837,EP,155-468-323-323-483,2024-10-23,EP 17714470 A,2017-03-30,USE OF CROSSLINKED POLYMER COMPOSITION FOR CABLE ACCESSORIES,BOREALIS AG,BOREALIS AG (2022-03-09),1,0,C08F210/02;;C08K3/04;;C08K5/14;;H01B3/004;;H01B3/441;;C08K2201/001;;C08L2310/00;;C08L2312/00;;C08F210/02;;C08K3/04;;C08K5/14;;H01B3/004;;H01B3/441;;C08K2201/001;;C08L2312/00;;C08L2310/00;;C08F2500/03;;C08F2500/12;;C08F2800/20;;C08K3/14;;C08K3/22;;C08K2003/2231;;C08K2003/2241;;C08K2003/2296;;C08L23/0815;;C08L2203/20,C08F210/02;;C08K3/04;;C08K5/14;;H01B3/00;;H01B3/44,
4838,US,050-042-573-770-766,2024-10-17,US 202218294203 A,2022-08-30,GAS PHASE POLYMERIZATION PROCESS WITH IMPROVED GAS RECYCLING,BOREALIS AG,BOREALIS AG (2023-12-20),0,0,B01J8/18;;B01J2208/00539;;B01J2219/00162;;B01J8/24;;B01J19/1837;;C08F10/00;;C08F6/001;;C08J11/02;;C08J2323/02;;C08F2/01;;C08F2/34;;C08F6/001,C08F2/34;;C08F2/01;;C08F6/00,
4839,EP,141-397-845-061-093,2017-11-01,EP 16167231 A,2016-04-27,CROSSLINKED POLYMER COMPOSITION FOR CABLE ACCESSORIES,BOREALIS AG,,6,5,C08F210/02;;C08K3/04;;C08K5/14;;H01B3/004;;H01B3/441;;C08K2201/001;;C08L2310/00;;C08L2312/00;;C08F210/02;;C08K3/04;;C08K5/14;;H01B3/004;;H01B3/441;;C08K2201/001;;C08L2312/00;;C08L2310/00;;C08F2500/03;;C08F2500/12;;C08F2800/20;;C08K3/14;;C08K3/22;;C08K2003/2231;;C08K2003/2241;;C08K2003/2296;;C08L23/0815;;C08L2203/20,C08F210/02;;C08K3/04;;C08K5/14;;H01B3/00;;H01B3/44,
4840,WO,007-356-394-262-822,2020-06-25,EP 2019083556 W,2019-12-03,IMPROVED FOAMING BEHAVIOUR OF POLYMER COMPOSITIONS USING PASSIVE NUCLEATION,BOREALIS AG,,4,0,C08L23/00;;C08L2203/14;;C08L2203/202;;C08L2205/02;;C08L2205/24;;C08J9/0061;;C08J9/0066;;C08J9/122;;C08J2203/06;;C08J2205/044;;C08J2323/06;;C08J2423/06;;C08J2201/03;;C08L23/06;;C08L2203/14;;C08L2203/202;;C08L2205/025;;C08L2207/062;;C08L2207/066,C08L23/00,
4841,EP,010-443-712-333-109,2020-09-02,EP 17714470 A,2017-03-30,CROSSLINKED POLYMER COMPOSITION FOR CABLE ACCESSORIES,BOREALIS AG,BOREALIS AG (2022-03-09),5,0,C08F210/02;;C08K3/04;;C08K5/14;;H01B3/004;;H01B3/441;;C08K2201/001;;C08L2310/00;;C08L2312/00;;C08F210/02;;C08K3/04;;C08K5/14;;H01B3/004;;H01B3/441;;C08K2201/001;;C08L2312/00;;C08L2310/00;;C08F2500/03;;C08F2500/12;;C08F2800/20;;C08K3/14;;C08K3/22;;C08K2003/2231;;C08K2003/2241;;C08K2003/2296;;C08L23/0815;;C08L2203/20,C08F210/02;;C08K3/04;;C08K5/14;;H01B3/00;;H01B3/44,
