"#",Jurisdiction,Lens ID,Publication Date,Application Number,Application Date,Title,Applicants,Owners,Cites Patent Count,Cited by Patent Count,CPC Classifications,IPCR Classifications,US Classifications
665,WO,123-532-406-794-611,2021-12-30,EP 2021067331 W,2021-06-24,HMS PP FOAM SHEET WITH GOOD COMPRESSSIVE STRENGTH AND RECOVERABILITY,BOREALIS AG,,9,0,C08J9/0066;;C08J9/141;;C08J2201/03;;C08J2203/14;;C08J2323/12;;C08K3/346;;C08J9/0066;;B32B5/18;;C08J9/141;;C08J2201/03;;C08J2203/14;;C08J2323/12;;C08K3/346;;C08J9/0066;;B65D81/022;;C08J5/18;;C08J9/141;;C08J2201/03;;C08J2203/14;;C08J2323/12;;C08K3/34;;C08K2003/343;;E04B1/74;;E04F15/18,C08J9/00;;C08J9/14;;C08L23/12,
666,CA,027-056-558-088-738,2022-03-08,CA 3135074 A,2020-03-26,COMPATIBILIZATION OF RECYCLED POLYETHYLENE-POLYPROPYLENE BLENDS,BOREALIS AG,,0,0,C08L23/12;;C08L2205/03;;C08L2207/20;;C08J3/20;;C08J3/12;;C08J3/005;;C08J2323/04;;C08J2323/10;;C08J2423/10;;C08J2423/04;;C08J2425/04;;C08J2477/00;;C08J2300/30;;C08K3/34;;C08K5/01;;C08L23/06;;C08L23/12;;C08L23/16;;C08L25/06;;C08L77/00;;C08L2205/03;;C08L2207/20;;C08J3/005;;C08L23/06;;C08L23/12;;C08L23/16;;C08L2205/03;;C08L2207/20,C08L23/12,
667,US,110-028-213-236-31X,2022-06-16,US 202017598494 A,2020-03-26,COMPATIBILIZATION OF RECYCLED POLYETHYLENE-POLYPROPYLENE BLENDS,BOREALIS AG,BOREALIS AG (2021-10-04),8,0,C08L23/12;;C08L2205/03;;C08L2207/20;;C08J3/20;;C08J3/12;;C08J3/005;;C08J2323/04;;C08J2323/10;;C08J2423/10;;C08J2423/04;;C08J2425/04;;C08J2477/00;;C08J2300/30;;C08K3/34;;C08K5/01;;C08L23/06;;C08L23/12;;C08L23/16;;C08L25/06;;C08L77/00;;C08L2205/03;;C08L2207/20;;C08J3/005;;C08L23/06;;C08L23/12;;C08L23/16;;C08L2205/03;;C08L2207/20,C08L23/16;;C08J3/00;;C08L23/06;;C08L23/12,
668,MX,056-944-515-101-119,2015-09-16,MX 2015005951 A,2013-11-28,TIGER STRIPE MODIFIER.,BOREALIS AG,,0,0,C08L23/12;;C08L2205/025;;C08L2205/03;;C08L23/12;;C08L2205/02;;C08L2207/02;;C08L23/12;;C08L2205/02;;C08L2207/02,C08L23/12;;C08F2/00,
669,WO,043-880-027-328-590,2020-10-08,EP 2020058578 W,2020-03-26,COMPATIBILIZATION OF RECYCLED POLYETHYLENE-POLYPROPYLENE BLENDS,BOREALIS AG,,5,5,C08L23/12;;C08L2205/03;;C08L2207/20;;C08J3/005;;C08J3/12;;C08J3/20;;C08J2300/30;;C08J2323/04;;C08J2323/10;;C08J2423/04;;C08J2423/10;;C08J2425/04;;C08J2477/00;;Y02W30/62;;C08L23/12;;C08L23/06;;C08L23/16;;C08L25/06;;C08L77/00;;C08K3/34;;C08K5/01;;C08L2207/20;;C08L2205/03;;C08J3/005;;C08L23/06;;C08L23/12;;C08L23/16;;C08L2205/03;;C08L2207/20,C08L23/12,
670,MY,122-482-290-690-546,2020-04-07,MY PI2016702173 A,2013-12-24,SUPERIOR IMPACT STRENGTH AT LOW TEMPERATURE BY RUBBER DESIGN,ABU DHABI POLYMERS CO LTD BOROUGE LLC;;BOREALIS AG,,0,0,,,
671,CN,144-230-053-347-434,2015-07-15,CN 201380059108 A,2013-11-28,Tiger stripe modifier,BOREALIS AG,,3,9,C08L23/12;;C08L2205/025;;C08L2205/03;;C08L23/12;;C08L2205/02;;C08L2207/02;;C08L23/12;;C08L2205/02;;C08L2207/02,C08L23/12;;C08F2/00,
672,WO,036-036-367-360-864,2015-07-02,CN 2013001630 W,2013-12-24,SUPERIOR IMPACT STRENGTH AT LOW TEMPERATURE BY RUBBER DESIGN,ABU DHABI POLYMERS CO LTD BOROUGE LLC;;BOREALIS AG;;CHEN RICK,,28,0,C08L23/12;;C08F210/06;;C08K3/013;;C08F210/06;;C08K5/0083;;C08L23/12;;C08L23/16;;C08F2500/12;;C08F210/06;;C08L23/12,C08L23/10;;C08L23/08;;C08L23/12;;C08L23/14,
673,US,033-182-172-142-660,2020-10-01,US 201816770704 A,2018-12-11,PROCESS FOR PREPARING A POLYPROPYLENE COMPOSITION,BOREALIS AG,BOREALIS AG (2020-06-15),0,0,C08F255/02;;C08L23/14;;C08L2205/24;;C08L2308/00;;C08L2205/025;;C08L23/14;;C08L2203/16;;C08L2205/03;;C08L2314/02;;C08L23/14;;C08L2203/16;;C08L2205/025;;C08L2314/02,C08L23/14,
674,WO,121-019-366-338-143,2019-06-20,EP 2018084315 W,2018-12-11,PROCESS FOR PREPARING A POLYPROPYLENE COMPOSITION,BOREALIS AG,,17,1,C08F255/02;;C08L23/14;;C08L2205/24;;C08L2308/00;;C08L2205/025;;C08L23/14;;C08L2203/16;;C08L2205/03;;C08L2314/02;;C08L23/14;;C08L2203/16;;C08L2205/025;;C08L2314/02,C08L23/14;;B65D41/00;;C08F210/06,
675,US,077-067-689-959-254,2022-09-13,US 201816770704 A,2018-12-11,Process for preparing a polypropylene composition,BOREALIS AG,BOREALIS AG (2020-06-15),44,0,C08F255/02;;C08L23/14;;C08L2205/24;;C08L2308/00;;C08L2205/025;;C08L23/14;;C08L2203/16;;C08L2205/03;;C08L2314/02;;C08L23/14;;C08L2203/16;;C08L2205/025;;C08L2314/02,C08L23/14,
676,AU,136-858-651-176-528,2017-12-07,AU 2013/409417 A,2013-12-24,Superior impact strength at low temperature by rubber design,ABU DHABI POLYMERS CO LTD BOROUGE LLC;;BOREALIS AG,,1,0,C08L23/12;;C08F210/06;;C08K3/013;;C08F210/06;;C08K5/0083;;C08L23/12;;C08L23/16;;C08F2500/12;;C08F210/06;;C08L23/12,C08L23/08;;C08L23/10;;C08L23/12;;C08L23/14,
677,CA,002-574-998-557-828,2014-06-05,CA 2889264 A,2013-11-28,TIGER STRIPE MODIFIER,BOREALIS AG,,0,0,C08L23/12;;C08L2205/025;;C08L2205/03;;C08L23/12;;C08L2205/02;;C08L2207/02;;C08L23/12;;C08L2205/02;;C08L2207/02,C08L23/12;;C08F2/00,
678,US,121-552-523-735-173,2016-10-20,US 201314442220 A,2013-11-28,TIGER STRIPE MODIFIER,BOREALIS AG,BOREALIS AG (2015-05-20),16,2,C08L23/12;;C08L2205/025;;C08L2205/03;;C08L23/12;;C08L2205/02;;C08L2207/02;;C08L23/12;;C08L2205/02;;C08L2207/02,C08L23/12,
679,EP,035-910-459-697-60X,2024-11-20,EP 23174230 A,2023-05-19,ALDEHYDE SCAVENGERS FOR REDUCING ODORANT CONTENT IN RECYCLATE-CONTAINING POLYMER COMPOSITIONS,BOREALIS AG,,13,0,C08L2207/02;;C08L2207/20;;C08L23/12;;C08F210/06,C08L23/10,
680,WO,115-822-749-292-440,2024-11-28,EP 2024063732 W,2024-05-17,ALDEHYDE SCAVENGERS FOR REDUCING ODORANT CONTENT IN RECYCLATE-CONTAINING POLYMER COMPOSITIONS,BOREALIS AG,,13,0,C08L2207/02;;C08L2207/20;;C08L23/12;;C08F210/06,C08L23/10,
681,CA,013-225-382-548-177,2018-02-20,CA 2889264 A,2013-11-28,TIGER STRIPE MODIFIER,BOREALIS AG,,0,0,C08L23/12;;C08L2205/025;;C08L2205/03;;C08L23/12;;C08L2205/02;;C08L2207/02;;C08L23/12;;C08L2205/02;;C08L2207/02,C08L23/12;;C08F2/00,
682,WO,111-060-503-654-102,2014-06-05,EP 2013075015 W,2013-11-28,TIGER STRIPE MODIFIER,BOREALIS AG,,2,20,C08L23/12;;C08L2205/025;;C08L2205/03;;C08L23/12;;C08L2205/02;;C08L2207/02;;C08L23/12;;C08L2205/02;;C08L2207/02,C08L23/12;;C08F2/00,
683,CN,187-682-012-964-521,2012-09-26,CN 201080056610 A,2010-12-15,"Blown grade showing superior stiffness, transparency and processing behaviour",BOREALIS AG,,2,1,C08J5/18;;C08F10/06;;C08J2323/14;;C08L23/10;;C08L23/142;;C08L2205/025;;C08L2207/07;;C08J5/18;;B29C49/04;;B65D65/02;;C08F10/06;;C08J2323/14;;C08L23/142;;C08L2205/025;;C08L2207/07;;C08J5/18;;C08F10/06;;C08J2323/14;;C08L23/10;;C08L23/142;;C08L2205/025;;C08L2207/07,C08J5/18,
684,CN,082-123-880-305-317,2018-09-21,CN 201810418949 A,2013-11-28,TIGER STRIPE MODIFIER,BOREALIS AG,,18,0,C08L23/12;;C08L2205/025;;C08L2205/03;;C08L23/12;;C08L2205/02;;C08L2207/02;;C08L23/12;;C08L2205/02;;C08L2207/02,C08L23/12;;C08F2/00;;C08L23/14,
685,WO,158-395-703-549-091,2022-02-03,EP 2021071257 W,2021-07-29,UPGRADED RECYCLED POLYETHYLENE POLYPROPYLENE BLEND,BOREALIS AG,,6,0,C08L2207/20;;C08L23/08;;C08L2205/035;;C08L2207/02;;Y02W30/62;;C08L23/08;;C08L2205/035;;C08L2207/02;;C08L2207/20,C08L23/08,
686,WO,022-663-306-077-218,2025-02-13,EP 2024072338 W,2024-08-07,FLAME RETARDANT POLYPROPYLENE COMPOSITION,BOREALIS AG,,9,0,C08L23/12;;C08L2207/20;;C08L2205/03;;C08L2207/02;;C08F210/06,C08L23/12,
687,CN,172-012-952-179-067,2021-11-09,CN 202080025031 A,2020-03-27,RECYCLED POLYETHYLENE-POLYPROPYLENE BLENDS COMPRISING A COMPATIBILIZER,BOREALIS AG,,3,0,C08L23/12;;C08L2205/03;;Y02W30/62;;C08L23/12;;C08L23/06;;C08L23/20;;C08L25/08;;C08L77/00;;C08L2207/20;;Y02P20/143;;Y02W30/62,C08L23/12,
688,CA,032-273-256-709-908,2020-10-08,CA 3135081 A,2020-03-27,RECYCLED POLYETHYLENE-POLYPROPYLENE BLENDS COMPRISING A COMPATIBILIZER,BOREALIS AG,,0,0,C08L23/12;;C08L23/06;;C08J11/04;;C08J2323/12;;C08J2423/06;;Y02P20/143;;C08L2205/03;;C08L23/06;;C08L23/12;;C08L23/20;;C08L25/08;;C08L77/00;;C08L2207/20;;Y02P20/143;;Y02W30/62;;C08J11/04;;C08L23/06;;C08L23/12;;C08L2207/20,C08L23/12,
689,CN,133-054-382-505-668,2020-04-17,CN 201880051888 A,2018-08-24,POLYPROPYLENE COMPOSITION WITH LOW SHRINKAGE AT WIDE APPLICATION TEMPERATURE RANGE,BOREALIS AG,,9,2,C08F210/16;;C08L23/12;;C08L2205/025;;C08L2207/02;;C08F2/001;;C08F210/16;;C08L23/12;;C08L23/12;;C08F2/001;;C08F4/65927;;C08F210/02;;C08F210/06;;C08F2500/17;;C08F2500/33;;C08F2500/34;;C08F2500/37;;C08L2201/00;;C08L2205/025;;C08L2207/02;;C08L2314/06,C08F210/16;;C08L23/16,
690,US,153-359-796-175-067,2022-11-29,US 202017598572 A,2020-03-27,Recycled polyethylene-polypropylene blends comprising a compatibilizer,BOREALIS AG,BOREALIS AG (2021-10-04),19,2,C08L23/12;;C08L23/06;;C08J11/04;;C08J2323/12;;C08J2423/06;;Y02P20/143;;C08L2205/03;;C08L23/06;;C08L23/12;;C08L23/20;;C08L25/08;;C08L77/00;;C08L2207/20;;Y02P20/143;;Y02W30/62;;C08J11/04;;C08L23/06;;C08L23/12;;C08L2207/20,C08L23/06;;C08J11/04;;C08L23/12,
691,CA,177-417-111-186-542,2021-12-30,CA 3187344 A,2021-06-24,HMS PP FOAM SHEET WITH GOOD COMPRESSSIVE STRENGTH AND RECOVERABILITY,BOREALIS AG,,0,0,C08J9/0066;;C08J2323/12;;C08J2201/03;;C08J9/141;;C08J2203/14;;C08K3/346;;C08J9/0066;;C08J9/141;;C08K3/346;;B32B5/18;;C08J2323/12;;C08J2201/03;;C08J2203/14;;B65D81/022;;C08J5/18;;C08J9/0066;;C08J9/141;;C08J2201/03;;C08J2203/14;;C08J2323/12;;C08K3/34;;C08K2003/343;;E04B1/74;;E04F15/18,C08J9/00;;C08J9/14;;C08L23/12,
692,AU,143-007-151-267-018,2018-11-01,AU 2016/289488 A,2016-07-07,Tube made of a heterophasic polypropylene composition,BOREALIS AG,,3,0,C08K3/34;;C08K5/105;;C08K5/34926;;C08L23/12;;C08L2205/025;;C08L2207/02;;C08L2308/00;;C08L2314/02;;G02B6/441;;C08L23/12;;C08L2205/025;;C08L2207/02;;C08L2308/00;;C08L2314/02;;G02B6/441;;C08K5/105;;C08K3/34;;C08K5/34926;;C08L23/12;;C08L2205/025;;C08L2207/02;;C08L2308/00;;C08L2314/02;;G02B6/441;;G02B6/443,C08L23/12;;C08L23/16;;G02B6/44,
693,CA,153-815-046-189-482,2022-04-05,CA 3135081 A,2020-03-27,RECYCLED POLYETHYLENE-POLYPROPYLENE BLENDS COMPRISING A COMPATIBILIZER,BOREALIS AG,,0,0,C08L23/12;;C08L23/06;;C08J11/04;;C08J2323/12;;C08J2423/06;;Y02P20/143;;C08L2205/03;;C08L23/06;;C08L23/12;;C08L23/20;;C08L25/08;;C08L77/00;;C08L2207/20;;Y02P20/143;;Y02W30/62;;C08J11/04;;C08L23/06;;C08L23/12;;C08L2207/20,C08L23/12,
694,US,109-950-695-337-795,2023-09-07,US 202118017456 A,2021-07-29,UPGRADED RECYCLED POLYETHYLENE POLYPROPYLENE BLEND,BOREALIS AG,BOREALIS AG (2023-01-10),0,0,C08L2207/20;;C08L23/08;;C08L2205/035;;C08L2207/02;;Y02W30/62;;C08L23/08;;C08L2205/035;;C08L2207/02;;C08L2207/20,C08L23/08,
695,EP,157-873-245-889-79X,2022-02-02,EP 20188512 A,2020-07-30,UPGRADED RECYCLED POLYETHYLENE POLYPROPYLENE BLEND,BOREALIS AG,BOREALIS AG (2022-03-09),6,0,C08L2207/20;;C08L23/08;;C08L2205/035;;C08L2207/02;;Y02W30/62;;C08L23/08;;C08L2205/035;;C08L2207/02;;C08L2207/20,C08L23/08,
696,TW,162-856-105-860-860,2022-03-01,TW 110127915 A,2021-07-29,Upgraded recycled polyethylene polypropylene blend,BOREALIS AG,,0,0,C08L2207/20;;C08L23/08;;C08L2205/035;;C08L2207/02;;Y02W30/62;;C08L23/08;;C08L2205/035;;C08L2207/02;;C08L2207/20,C08L23/12;;C08F210/06,
697,CA,121-254-468-142-707,2022-02-03,CA 3188338 A,2021-07-29,UPGRADED RECYCLED POLYETHYLENE POLYPROPYLENE BLEND,BOREALIS AG,,0,0,C08L2207/20;;C08L23/08;;C08L2205/035;;C08L2207/02;;Y02W30/62;;C08L23/08;;C08L2205/035;;C08L2207/02;;C08L2207/20,C08L23/08,
698,US,155-615-118-369-930,2001-05-01,US 7432598 A,1998-05-07,Polyolefin foam materials of high dimensional stability at elevated temperatures,BOREALIS AG,BOREALIS GMBH (1998-05-26),4,50,C08L51/06;;C08J9/0061;;C08J9/16;;C08J2323/10;;C08J2423/00;;C08K5/0008;;C08K5/14;;C08L23/10;;C08L23/12;;C08L53/00;;C08L2203/14;;C08L51/06;;C08J9/0061;;C08J9/16;;C08J2323/10;;C08J2423/00;;C08K5/0008;;C08K5/14;;C08L23/10;;C08L23/12;;C08L53/00;;C08L2203/14,C08J9/00;;C08J9/18;;C08K5/00;;C08K5/14;;C08L23/10;;C08L51/06;;E02B15/06,521/134;;521/59;;521/60;;521/79;;521/81;;521/142;;521/143;;521/150
699,CN,187-527-973-839-383,2021-06-08,CN 201980071549 A,2019-10-22,AERATED POLYPROPYLENE COMPOSITIONS EXHIBITING SPECIFIC EMISSION,BOREALIS AG,,6,0,C08K5/20;;C08F6/005;;C08K3/34;;C08K3/40;;C08K5/20;;C08L23/12;;C08L2205/025,C08K5/20,
700,US,024-486-483-702-860,2022-06-09,US 202017598572 A,2020-03-27,RECYCLED POLYETHYLENE-POLYPROPYLENE BLENDS COMPRISING A COMPATIBILIZER,BOREALIS AG,BOREALIS AG (2021-10-04),0,2,C08L23/12;;C08L23/06;;C08J11/04;;C08J2323/12;;C08J2423/06;;Y02P20/143;;C08L2205/03;;C08L23/06;;C08L23/12;;C08L23/20;;C08L25/08;;C08L77/00;;C08L2207/20;;Y02P20/143;;Y02W30/62;;C08J11/04;;C08L23/06;;C08L23/12;;C08L2207/20,C08L23/06;;C08J11/04;;C08L23/12,
701,CN,096-553-648-119-251,2023-09-05,CN 202310772737 A,2018-12-11,Process for preparing polypropylene composition,BOREALIS AG,,0,0,C08F255/02;;C08L23/14;;C08L2205/24;;C08L2308/00;;C08L2205/025;;C08L23/14;;C08L2203/16;;C08L2205/03;;C08L2314/02;;C08L23/14;;C08L2203/16;;C08L2205/025;;C08L2314/02,C08F255/02;;C08F210/06;;C08F210/16;;C08L23/14,
702,EA,030-650-874-615-819,2018-05-31,EA 201500541 A,2013-11-28,"HETEROPHASIC POLYPROPYLENE COMPOSITION (VARIANTS), ARTICLE AND USE OF THE COMPOSITION",BOREALIS AG,,3,0,C08L23/12;;C08F210/06;;C08L2207/02;;C08L23/12;;C08L2205/02;;C08L2207/02;;C08L23/12;;C08L23/16;;C08L2205/02;;C08L2207/02,C08L23/12;;C08F2/00,
703,CN,160-010-749-310-619,2024-11-12,CN 202380030087 A,2023-03-31,BLOW FILM,BOREALIS AG,,0,0,C08J5/18;;C08J2323/14;;C08J2471/02;;C08L23/14;;C08F210/06;;C08L23/16;;C08F4/65908;;C08F4/65912;;C08F4/65916;;C08F2420/07,C08J5/18;;C08L23/14,
704,WO,153-288-440-495-064,2020-10-08,EP 2020058710 W,2020-03-27,RECYCLED POLYETHYLENE-POLYPROPYLENE BLENDS COMPRISING A COMPATIBILIZER,BOREALIS AG,,7,6,C08L23/12;;C08L23/06;;C08J11/04;;C08J2323/12;;C08J2423/06;;Y02P20/143;;C08L2205/03;;C08L23/06;;C08L23/12;;C08L23/20;;C08L25/08;;C08L77/00;;C08L2207/20;;Y02P20/143;;Y02W30/62;;C08J11/04;;C08L23/06;;C08L23/12;;C08L2207/20,C08L23/12,
705,WO,037-970-942-915-651,2022-09-29,EP 2022057950 W,2022-03-25,MIXED-PLASTICS-POLYPROPYLENE BLEND,BOREALIS AG,,5,4,C08L23/10;;B29B17/02;;C08L2203/16;;C08L2207/02;;C08L2207/20;;B29B2017/0224;;B29B17/0026;;B29K2023/12;;B29B2017/0234;;B29B2017/0203;;B29B2017/0279;;B29B17/04;;B29B2017/0289;;Y02W30/62;;C08L23/10;;B29B17/02;;B29B17/0026;;C08L2207/20;;C08L2203/16;;B29B2017/0203;;B29B2017/0224;;B29B2017/0234;;B29B2017/0279;;B29B2017/0289;;B29K2023/12;;Y02W30/62;;C08L25/06;;C08L77/02;;C08L2207/02;;B29B9/06;;B29B17/0404;;B29B2017/0224;;B29K2023/12;;B29K2025/06;;B29K2077/00;;B29K2995/0012;;B29K2995/0063;;B29K2995/0077;;B29K2995/0078;;C08L23/12;;C08L2203/16;;C08L2207/02;;C08L2207/20;;B29B17/02;;B29B17/0412;;B29B2017/0203;;B29B2017/0289;;B29K2023/14;;B29K2105/26;;B29K2995/002;;C08L23/16;;C08L2205/025,C08L23/10;;B29B17/02,
706,EP,092-483-624-776-488,2022-09-28,EP 21189650 A,2021-08-04,MIXED-PLASTICS-POLYPROPYLENE BLEND,BOREALIS AG,,5,6,B29B17/02;;B29B17/0026;;B29B17/04;;B29B2017/0203;;B29B2017/0224;;B29B2017/0234;;B29B2017/0279;;B29B2017/0289;;B29K2023/12;;C08L23/10;;C08L2203/16;;C08L2207/02;;C08L2207/20;;Y02W30/62,C08L23/10,
707,CA,137-991-284-905-504,2019-04-04,CA 3069272 A,2018-09-26,REINFORCED POLYMER COMPOSITION,BOREALIS AG,,0,0,C08L23/12;;C08L2205/025;;C08L2205/035;;C08L2207/02;;C08L23/12;;C08L2205/025;;C08L2205/035;;C08L2207/02;;C08L23/12;;C08K7/06;;C08K2201/019;;C08L23/16;;C08L23/26;;C08L2205/025;;C08L2205/035;;C08L2207/02;;C08L23/12;;C08J5/042;;C08K3/04;;C08K7/06;;C08L23/06;;C08L2207/02,C08L23/12,
708,UA,169-592-320-971-481,2021-09-15,UA A202001713 A,2018-09-26,REINFORCED POLYMER COMPOSITION,BOREALIS AG,,0,0,C08L23/12;;C08L2205/025;;C08L2205/035;;C08L2207/02;;C08L23/12;;C08L2205/025;;C08L2205/035;;C08L2207/02;;C08L23/12;;C08K7/06;;C08K2201/019;;C08L23/16;;C08L23/26;;C08L2205/025;;C08L2205/035;;C08L2207/02;;C08L23/12;;C08J5/042;;C08K3/04;;C08K7/06;;C08L23/06;;C08L2207/02,,
709,CN,187-978-015-953-433,2023-11-14,CN 202280024039 A,2022-03-25,Hybrid plastic-polypropylene blends,BOREALIS AG,,0,0,,C08L23/10,
710,CN,148-799-446-873-795,2017-03-01,CN 201580034544 A,2015-07-06,Nucleated phthalate-free pp homopolymers for melt-blown fibers,BOREALIS AG,,3,1,C08J3/226;;C08J2323/12;;C08L23/12;;C08L2203/12;;C08L2205/025;;C08L2205/24;;D01D5/0985;;D01F1/10;;D01F6/06;;D04H1/4291;;D04H1/56;;C08L23/12;;C08J3/226;;C08J2323/12;;C08K5/0083;;C08L2203/12;;C08L2205/025;;C08L2205/24;;D01D5/0985;;D01F1/10;;D01F6/06;;D04H1/4291;;D04H1/56;;C08L23/12;;C08F2/001;;C08F4/651;;C08F210/06;;C08J3/226;;C08J2323/12;;C08K5/0083;;C08L2203/12;;C08L2205/025;;C08L2205/24;;D01D5/0985;;D01F1/10;;D01F6/06;;D04H1/4291;;D04H1/54;;D04H1/56;;D10B2321/022;;C08L23/12;;C08J3/226;;C08J2323/12;;C08K5/0083;;C08L2203/12;;C08L2205/025;;C08L2205/24;;D01D5/0985;;D01F1/10;;D01F6/06;;D04H1/42;;D04H1/4291;;D04H1/54;;D04H1/56;;D10B2321/022,C08J3/22;;C08K5/00;;C08L23/12;;D01D5/098;;D01F1/10;;D01F6/06;;D04H1/4291;;D04H1/56,
711,US,037-091-692-439-46X,2017-07-13,US 201515324803 A,2015-07-06,Nucleated phthalate-free PP homopolymers for melt-blown fibers,BOREALIS AG,BOREALIS AG (2017-01-30),0,0,C08J3/226;;C08J2323/12;;C08L23/12;;C08L2203/12;;C08L2205/025;;C08L2205/24;;D01D5/0985;;D01F1/10;;D01F6/06;;D04H1/4291;;D04H1/56;;C08L23/12;;C08J3/226;;C08J2323/12;;C08K5/0083;;C08L2203/12;;C08L2205/025;;C08L2205/24;;D01D5/0985;;D01F1/10;;D01F6/06;;D04H1/4291;;D04H1/56;;C08L23/12;;C08F2/001;;C08F4/651;;C08F210/06;;C08J3/226;;C08J2323/12;;C08K5/0083;;C08L2203/12;;C08L2205/025;;C08L2205/24;;D01D5/0985;;D01F1/10;;D01F6/06;;D04H1/4291;;D04H1/54;;D04H1/56;;D10B2321/022;;C08L23/12;;C08J3/226;;C08J2323/12;;C08K5/0083;;C08L2203/12;;C08L2205/025;;C08L2205/24;;D01D5/0985;;D01F1/10;;D01F6/06;;D04H1/42;;D04H1/4291;;D04H1/54;;D04H1/56;;D10B2321/022,C08L23/12;;C08J3/22;;D01D5/098;;D01F1/10;;D01F6/06;;D04H1/42;;D04H1/54,
712,EP,159-362-377-216-130,2014-06-04,EP 12194766 A,2012-11-29,Tiger stripe modifier,BOREALIS AG,,19,7,C08F210/06;;C08L23/12;;C08L2207/02;;C08L2205/02;;C08L2207/02;;C08L23/12;;C08L2205/02;;C08L2207/02;;C08L23/12;;C08L23/16,C08L23/12;;C08F2/00,
713,WO,008-248-302-279-116,2013-03-28,EP 2012068298 W,2012-09-18,HETEROPHASIC PROPYLENE COPOLYMER WITH EXCELLENT STIFFNESS AND IMPACT BALANCE,BOREALIS AG;;KOCK CORNELIA;;KNIESEL CLAUDIA;;DOSHEV PETAR,,15,17,C08L23/12;;C08F110/06;;C08F210/06;;C08L2205/025;;C08L2205/035;;C08L2207/02;;C08L2207/062;;C08L2308/00;;C08L23/10;;C08K3/013;;C08L2205/025;;C08L2207/02;;C08L2308/00;;C08L23/10;;C08K3/013,C08L23/10;;C08F2/00,
714,AU,070-804-540-925-42X,2017-01-12,AU 2015/289353 A,2015-07-06,Nucleated phthalate-free PP homopolymers for melt-blown fibers,BOREALIS AG,,0,1,C08J3/226;;C08J2323/12;;C08L23/12;;C08L2203/12;;C08L2205/025;;C08L2205/24;;D01D5/0985;;D01F1/10;;D01F6/06;;D04H1/4291;;D04H1/56;;C08L23/12;;C08J3/226;;C08J2323/12;;C08K5/0083;;C08L2203/12;;C08L2205/025;;C08L2205/24;;D01D5/0985;;D01F1/10;;D01F6/06;;D04H1/4291;;D04H1/56;;C08L23/12;;C08F2/001;;C08F4/651;;C08F210/06;;C08J3/226;;C08J2323/12;;C08K5/0083;;C08L2203/12;;C08L2205/025;;C08L2205/24;;D01D5/0985;;D01F1/10;;D01F6/06;;D04H1/4291;;D04H1/54;;D04H1/56;;D10B2321/022;;C08L23/12;;C08J3/226;;C08J2323/12;;C08K5/0083;;C08L2203/12;;C08L2205/025;;C08L2205/24;;D01D5/0985;;D01F1/10;;D01F6/06;;D04H1/42;;D04H1/4291;;D04H1/54;;D04H1/56;;D10B2321/022,C08L23/12;;D01F6/06,
715,CN,085-916-175-641-701,2014-05-28,CN 201280044178 A,2012-09-18,Heterophasic propylene copolymer with excellent stiffness and impact balance,BOREALIS AG,,7,4,C08L23/12;;C08F110/06;;C08F210/06;;C08L2205/025;;C08L2205/035;;C08L2207/02;;C08L2207/062;;C08L2308/00;;C08L23/10;;C08K3/013;;C08L2205/025;;C08L2207/02;;C08L2308/00;;C08L23/10;;C08K3/013,C08L23/10;;C08F2/00,
716,AU,166-563-705-629-810,2017-12-21,AU 2015/289353 A,2015-07-06,Nucleated phthalate-free PP homopolymers for melt-blown fibers,BOREALIS AG,,1,0,C08J3/226;;C08J2323/12;;C08L23/12;;C08L2203/12;;C08L2205/025;;C08L2205/24;;D01D5/0985;;D01F1/10;;D01F6/06;;D04H1/4291;;D04H1/56;;C08L23/12;;C08J3/226;;C08J2323/12;;C08K5/0083;;C08L2203/12;;C08L2205/025;;C08L2205/24;;D01D5/0985;;D01F1/10;;D01F6/06;;D04H1/4291;;D04H1/56;;C08L23/12;;C08F2/001;;C08F4/651;;C08F210/06;;C08J3/226;;C08J2323/12;;C08K5/0083;;C08L2203/12;;C08L2205/025;;C08L2205/24;;D01D5/0985;;D01F1/10;;D01F6/06;;D04H1/4291;;D04H1/54;;D04H1/56;;D10B2321/022;;C08L23/12;;C08J3/226;;C08J2323/12;;C08K5/0083;;C08L2203/12;;C08L2205/025;;C08L2205/24;;D01D5/0985;;D01F1/10;;D01F6/06;;D04H1/42;;D04H1/4291;;D04H1/54;;D04H1/56;;D10B2321/022,C08L23/12;;D01F6/06,
