"#",Jurisdiction,Lens ID,Publication Date,Application Number,Application Date,Title,Applicants,Owners,Cites Patent Count,Cited by Patent Count,CPC Classifications,IPCR Classifications,US Classifications
2132,WO,058-449-328-001-15X,2019-10-31,US 2019/0029060 W,2019-04-25,A PROCESS TO MAKE NON-COORDINATING ANION TYPE ACTIVATORS IN ALIPHATIC AND ALICYCLIC HYDROCARBON SOLVENTS,EXXONMOBIL CHEMICAL PATENTS INC,,4,3,C07F5/027;;C07C211/08;;C07C211/48;;C07C211/55;;C07F15/025;;C08F4/65912;;C07F5/027;;C07C211/64;;C08F4/65916;;C08F4/7042;;C08F110/06;;C08F210/02;;C08F210/06;;C08F210/16;;C07F5/027;;C07C211/63;;C07C211/64;;C08F4/52;;C08F4/643;;C08F4/65908;;C08F4/65916;;C08F4/6592;;C08F10/02;;C08F10/06;;C08F10/14;;C08F36/02;;C08F210/16;;C08F2410/01;;C08F2500/15,C08F10/06;;C07C211/64;;C07F5/02;;C08F2/38;;C08F4/52;;C08F4/659;;C08F4/6592;;C08F110/06;;C08F210/02;;C08F210/06,
2133,US,034-403-274-759-066,2021-06-17,US 202017088286 A,2020-11-03,LOW AROMATIC POLYOLEFINS,EXXONMOBIL CHEMICAL PATENTS INC,,0,0,C08F210/16;;C08F4/65912;;C08F4/65916;;C08F210/16;;C08F2/01;;C08F4/65904;;C08F4/65912;;C08F4/65916;;C08F4/65925;;C08F4/65927;;C08F210/14;;C08F2500/12;;C08F2500/26;;C08F2500/34;;C08F4/65916;;C08F2/34;;C08F4/65904;;C08F4/65912;;C08F4/65925;;C08F4/65927;;C08F10/02;;C08F2410/02,C08F4/659;;C08F2/34;;C08F4/6592;;C08F10/02,
2134,US,015-058-861-029-363,2017-09-07,US 201414898908 A,2014-06-30,Comb-Star Viscosity Modifier and Its Compositions,EXXONMOBIL CHEMICAL PATENTS INC;;EXXONMOBILE CHEMICAL PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2015-12-29),4,2,C08G77/442;;C08F283/12;;C08F290/06;;C08G77/28;;C08G77/392;;C08L83/10;;C08G77/442;;C08F283/12;;C08F290/06;;C08G77/28;;C08G77/392;;C08L83/10,C08G77/442,
2135,WO,024-081-996-395-127,2013-04-11,US 2012/0052878 W,2012-08-29,MIXED METAL OXIDE CATALYSTS AND USE THEREOF,EXXONMOBIL CHEM PATENTS INC;;WANG KUN;;GARCIA ROBERTO;;SMITH CHARLES M;;LEVIN DORON;;VARTULI JAMES C,,7,2,C07C37/08;;B01J21/066;;B01J23/002;;B01J23/30;;B01J37/009;;B01J37/036;;B01J37/06;;C07C45/53;;Y02P20/52;;C07C37/08;;B01J21/066;;B01J23/002;;B01J23/10;;B01J23/30;;B01J37/009;;B01J37/036;;B01J37/06;;C07C2/66;;C07C45/53;;C07C407/00;;C07C2529/70;;Y02P20/52,B01J23/30,
2136,US,026-359-602-408-279,2024-07-16,US 202017310081 A,2020-01-23,Oriented multilayer polyethylene films and laminates thereof,EXXONMOBIL CHEMICAL PATENTS INC,,6,0,B32B2307/31;;B32B2307/406;;B32B2307/412;;B32B2307/5825;;B32B2307/558;;B32B2307/72;;B32B2307/54;;B32B2307/30;;B32B2553/00;;B32B2439/00;;B32B2307/516;;B32B2250/05;;B32B2250/03;;B32B2250/04;;B32B2250/40;;B32B2250/242;;B32B27/08;;B32B27/32;;B32B27/327;;B32B7/02;;B29C48/18;;B29C48/0018;;B29C55/04;;B29K2023/065;;B29K2023/08;;B29K2995/0022;;B29K2995/0051;;B29K2995/0077;;B29K2995/0081;;B29K2995/0089;;B29K2995/0097;;B32B2307/72;;B32B2307/514;;B32B2307/50;;B32B2307/7244;;B32B2307/412;;B32B27/06;;B32B27/08;;B32B27/32;;B32B2307/7246,B29C48/18;;B29C48/00;;B29C55/04;;B29K23/00;;B32B27/06;;B32B27/08;;B32B27/32,
2137,WO,031-321-835-765-071,2021-06-17,US 2020/0058715 W,2020-11-03,LOW AROMATIC POLYOLEFINS,EXXONMOBIL CHEMICAL PATENTS INC,,31,0,C08F210/16;;C08F4/65912;;C08F4/65916;;C08F210/16;;C08F2/01;;C08F4/65904;;C08F4/65912;;C08F4/65916;;C08F4/65925;;C08F4/65927;;C08F210/14;;C08F2500/12;;C08F2500/26;;C08F2500/34;;C08F4/65916;;C08F2/34;;C08F4/65904;;C08F4/65912;;C08F4/65925;;C08F4/65927;;C08F10/02;;C08F2410/02,C08F210/16;;B01J37/02;;C08F4/659,
2138,WO,163-421-770-722-787,2016-06-16,US 2015/0054425 W,2015-10-07,CHAIN END FUNCTIONALIZED POLYOLEFINS FOR IMPROVING WET TRACTION AND ROLLING RESISTANCE OF TIRE TREADS,EXXONMOBIL CHEM PATENTS INC,,0,2,B60C1/0016;;C08F8/42;;C08L9/06;;C08L2205/02;;C08L2205/035;;C08F8/42;;C08K3/36;;C08L15/00;;C08F2810/40;;C08L9/06;;B60C1/00;;C08L23/26;;C08L23/36;;C08L83/00;;C08L83/06,C08K3/00;;C08K3/011;;C08K3/013,
2139,US,088-181-411-842-615,2014-02-06,US 201313921709 A,2013-06-19,Nonsymmetric Catalysts Comprising Salan Ligands,UNIV RAMOT;;EXXONMOBIL CHEM PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2013-07-05);;RAMOT AT TEL-AVIV UNIVERSITY LTD (2013-07-22),5,50,C08F210/16;;C08F4/76;;C08F4/52;;C08F210/16,C08F4/76;;C08F4/52,526/160;;548/403;;502/117;;502/152;;502/155
2140,US,151-919-900-785-018,2018-08-23,US 201715852553 A,2017-12-22,Hafnocene Catalyst Compounds and Process for Use Thereof,EXXONMOBIL CHEMICAL PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2018-01-19),0,14,C08F210/16;;C08F4/65908;;C08F4/65912;;C08F4/65916;;C08F2420/07;;C08F10/02;;C08F4/65908;;C08F4/65912;;C08F4/65916;;C08F210/16;;C08F2420/01,C08F10/02,
2141,US,132-945-019-610-407,2016-02-02,US 201214347422 A,2012-08-29,Mixed metal oxide catalysts and use thereof,WANG KUN;;GARCIA ROBERTO;;SMITH CHARLES MORRIS;;LEVIN DORON;;VARTULI JAMES C;;EXXONMOBIL CHEM PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2014-07-08),53,3,C07C37/08;;B01J21/066;;B01J23/002;;B01J23/30;;B01J37/009;;B01J37/036;;B01J37/06;;C07C45/53;;Y02P20/52;;C07C37/08;;B01J21/066;;B01J23/002;;B01J23/10;;B01J23/30;;B01J37/009;;B01J37/036;;B01J37/06;;C07C2/66;;C07C45/53;;C07C407/00;;C07C2529/70;;Y02P20/52,C07C37/08;;B01J21/06;;B01J23/00;;B01J23/10;;B01J23/30;;B01J37/00;;B01J37/03;;B01J37/06;;C07C2/66;;C07C45/53;;C07C407/00,
2142,WO,189-124-973-301-096,2008-06-26,US 2007/0085365 W,2007-11-21,PHASE SEPARATOR AND MONOMER RECYCLE FOR SUPERCRITICAL POLYMERIZATION PROCESS,EXXONMOBIL CHEM PATENTS INC;;EXXONMOBIL RES & ENG CO;;FRIEDERSDORF CHRIS;;BRANT PATRICK;;KISS GABOR,,20,9,C08F10/06;;C08F4/65927;;C08F210/06;;Y02P20/54;;C08F10/06;;C08F4/65927;;C08F210/06;;Y02P20/54,C08F10/06;;C08F2/06;;C08F4/62,
2143,US,016-069-222-835-609,2015-02-17,US 201313921709 A,2013-06-19,Nonsymmetric catalysts comprising salan ligands,EXXONMOBIL CHEM PATENTS INC;;UNIV RAMOT,EXXONMOBIL CHEMICAL PATENTS INC (2013-07-05);;RAMOT AT TEL-AVIV UNIVERSITY LTD (2013-07-22),80,20,C08F210/16;;C08F4/76;;C08F4/52;;C08F210/16,C08F4/76;;C08F4/64,526/161;;526/172;;526/160;;526/170;;526/134;;526/348;;556/51;;556/42;;556/57;;502/103
2144,US,136-087-333-692-655,2019-02-07,US 201816004847 A,2018-06-11,"Bridged Biphenyl Phenol Transition Metal Complexes, Production and Use Thereof",EXXONMOBIL CHEMICAL PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2018-06-11),1,0,C08F210/16;;C08F4/659;;C08F4/65912;;C08F4/65916;;C08F2410/07;;C08F110/02;;C08F4/659;;C08F4/65912;;C08F4/65916;;C08F210/16,C08F110/02,
2145,US,060-052-200-869-087,2014-02-06,US 201313921761 A,2013-06-19,Halogenated Catalysts Comprising Salan Ligands,UNIV RAMOT;;EXXONMOBIL CHEM PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2013-07-05);;RAMOT AT TEL-AVIV UNIVERSITY LTD (2013-07-22),7,22,C08F10/00;;C08F4/659;;C08F4/65912;;C08F4/659;;C08F10/00,C08F4/659,526/170;;556/52;;502/155;;502/103;;502/117
2146,US,069-587-294-439-923,2015-02-10,US 201313921761 A,2013-06-19,Halogenated catalysts comprising Salan ligands,EXXONMOBIL CHEM PATENTS INC;;UNIV RAMOT,EXXONMOBIL CHEMICAL PATENTS INC (2013-07-05);;RAMOT AT TEL-AVIV UNIVERSITY LTD (2013-07-22),82,20,C08F10/00;;C08F4/659;;C08F4/65912;;C08F4/659;;C08F10/00,C08F4/76;;C08F4/64,526/161;;526/172;;526/160;;526/170;;526/134;;526/348;;556/51;;556/42;;556/57;;502/103
2147,WO,155-618-761-947-721,2014-02-06,US 2013/0046582 W,2013-06-19,HALOGENATED CATALYSTS COMPRISING SALAN LIGANDS,EXXONMOBIL CHEM PATENTS INC;;UNIV RAMOT,,4,2,C08F10/00;;C08F4/659;;C08F4/65912;;C08F4/659;;C08F10/00,C09B55/00;;C07C1/00,
2148,WO,038-083-773-862-928,2003-09-12,US 0304169 W,2003-02-10,"CATALYST COMPOSITIONS COMPRISING MOLECULAR SIEVES, THEIR PREPARATION AND USE IN CONVERSION PROCESSES",EXXONMOBIL CHEM PATENTS INC,,0,0,B01J21/10;;B01J23/02;;B01J23/10;;B01J29/85;;B01J37/0009;;B01J2229/42;;C07C1/20;;C07C2521/06;;C07C2521/10;;C07C2523/08;;C07C2529/00;;C07C2529/83;;C07C2529/85;;C10G11/05;;C10G35/095;;C10G45/54;;C10G45/64;;C10G47/20;;C10G49/08;;C10G50/00;;C10G50/02;;C10G3/44;;C10G3/49;;C10G2400/20;;Y02P30/20;;Y02P30/40;;B01J35/19;;B01J35/60;;B01J29/85;;B01J37/08;;B01J23/83;;B01J35/60,B01J21/10;;B01J23/02;;B01J23/10;;B01J29/85;;B01J35/00;;B01J35/10;;B01J37/00;;B01J37/03;;B01J37/04;;B01J37/08;;C07B61/00;;C07C1/20;;C07C2/84;;C07C11/04;;C07C11/06;;C10G3/00;;C10G11/05;;C10G35/095;;C10G45/54;;C10G45/64;;C10G47/20;;C10G49/08;;C10G50/00;;C10G50/02,
2149,US,123-000-351-629-979,2020-01-28,US 201816004847 A,2018-06-11,"Bridged biphenyl phenol transition metal complexes, production and use thereof",EXXONMOBIL CHEMICAL PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2018-06-11),4,2,C08F210/16;;C08F4/659;;C08F4/65912;;C08F4/65916;;C08F2410/07;;C08F110/02;;C08F4/659;;C08F4/65912;;C08F4/65916;;C08F210/16,C08F110/02,
2150,WO,078-921-063-607-851,2019-02-07,US 2018/0036847 W,2018-06-11,"BRIDGED BIPHENYL PHENOL TRANSITION METAL COMPLEXES, PRODUCTION, AND USE THEREOF",EXXONMOBIL CHEMICAL PATENTS INC,,5,1,C08F210/16,C07F7/00;;C08F2/38;;C08F4/64;;C08F4/642;;C08F4/659;;C08F4/6592;;C08F210/02,
2151,EP,179-844-200-791-065,2021-07-21,EP 17708910 A,2017-02-08,POLYETHYLENE FILMS,EXXONMOBIL CHEMICAL PATENTS INC,,10,0,C08J5/18;;B32B27/08;;B32B27/20;;B32B27/28;;B32B27/281;;B32B27/285;;B32B27/286;;B32B27/302;;B32B27/304;;B32B27/306;;B32B27/308;;B32B27/32;;B32B27/322;;B32B27/325;;B32B27/327;;B32B27/34;;B32B2250/02;;B32B2250/03;;B32B2250/04;;B32B2250/05;;B32B2250/242;;B32B2270/00;;B32B2307/54;;B32B2307/558;;B32B2307/72;;B32B2307/732;;B32B2410/00;;B32B2439/46;;B32B2439/70;;B32B2439/80;;C08J2323/08;;C08J5/18;;B32B27/08;;B32B27/20;;B32B27/28;;B32B27/281;;B32B27/285;;B32B27/286;;B32B27/302;;B32B27/304;;B32B27/306;;B32B27/308;;B32B27/32;;B32B27/322;;B32B27/325;;B32B27/327;;B32B27/34;;B32B2250/02;;B32B2250/03;;B32B2250/04;;B32B2250/05;;B32B2250/242;;B32B2270/00;;B32B2307/54;;B32B2307/546;;B32B2307/558;;B32B2307/72;;B32B2307/732;;B32B2410/00;;B32B2439/46;;B32B2439/70;;B32B2439/80;;C08J2323/06;;C08J2323/08;;C08J2423/06;;C08J2423/08;;C08J2423/14;;C08L2203/16;;C08L2314/02;;C08L2314/06,C08J5/18;;B32B27/08;;B32B27/20;;B32B27/28;;B32B27/30;;B32B27/32;;B32B27/34,
