"#",Jurisdiction,Lens ID,Publication Date,Application Number,Application Date,Title,Applicants,Owners,Cites Patent Count,Cited by Patent Count,CPC Classifications,IPCR Classifications,US Classifications
493,US,005-913-047-436-863,2021-10-19,US 201816648294 A,2018-08-21,Propylene-based impact copolymers and process and apparatus for production,EXXONMOBIL CHEMICAL PATENTS INC,,30,0,B01J8/025;;B01J19/1818;;B01J19/1837;;B01J19/242;;B01J19/2435;;B01J2219/0004;;C08F110/06;;C08F210/06;;C08F10/06;;C08F2800/20,C08F10/06,
494,US,038-941-842-415-194,2014-10-16,US 201414315425 A,2014-06-26,Vulcanized Polymer Blends,EXXONMOBIL CHEM PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2014-07-10),0,11,C08L23/12;;C08L23/10;;C08L23/145;;C08L23/16;;C08L2312/00;;C08L2314/06;;C08L47/00;;C08L23/10;;C08L23/12;;C08L23/145;;C08L23/16;;C08L2312/00;;C08L2314/06,C08L47/00;;C08L23/12,524/525;;525/232;;525/195
495,EP,098-264-883-772-949,2003-10-01,EP 98956703 A,1998-11-12,PROPYLENE POLYMERS INCORPORATING MACROMERS,EXXONMOBIL CHEM PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC. (2001-05-30),5,0,C08L51/06;;C08F4/65912;;C08F10/00;;C08F10/06;;C08F110/06;;C08F255/00;;C08F255/02;;C08F290/042;;C08F297/08;;C08F297/083;;Y10S526/943;;C08F10/06;;C08F4/65908;;C08F4/65912;;C08F4/65927;;C08F210/02;;C08F212/08;;C08L51/06;;C08F4/65912;;C08F10/00;;C08F10/06;;C08F110/06;;C08F255/00;;C08F255/02;;C08F290/042;;C08F297/08;;C08F297/083;;Y10S526/943,C08L23/10;;C08F2/00;;C08F4/64;;C08F4/659;;C08F4/6592;;C08F10/00;;C08F10/06;;C08F110/06;;C08F210/06;;C08F255/00;;C08F255/02;;C08F290/04;;C08F297/08;;C08L51/06,
496,WO,040-871-724-875-035,2005-11-03,US 2005/0002903 W,2005-01-31,THERMOPLASTIC PIPE AND LINERS,EXXONMOBIL CHEM PATENTS INC;;BURIAK PAUL J;;LI WEN,,4,8,B32B1/08;;B32B27/08;;C08L23/0815;;C08L23/0869;;C08L23/10;;C08L51/06;;C08L57/02;;H04N5/272;;B32B1/08;;B32B27/08;;B32B27/306;;B32B27/32;;B32B2307/7242;;B32B2323/04;;B32B2323/10;;B32B2329/04;;B32B2597/00;;C08L23/0815;;C08L23/0869;;C08L23/10;;C08L51/06;;C08L57/02;;H04N5/272,B32B1/08;;B32B27/08;;C08L23/10;;C08L51/06;;H04N5/232;;H04N5/272,
497,EP,023-532-393-845-356,2014-01-01,EP 08873769 A,2008-10-20,ISOTACTIC POLYPROPYLENE PRODUCED FROM SUPERCRITICAL POLYMERIZATION PROCESS,EXXONMOBIL CHEM PATENTS INC;;EXXONMOBIL RES & ENG CO,,8,1,C08F110/06;;C08F4/65908;;C08F4/65912;;C08F10/00;;C08F10/06;;Y02P20/54;;C08F110/06;;C08F4/65908;;C08F4/65912;;C08F10/00;;C08F10/06;;Y02P20/54,C08F110/06;;C08F2/06;;C08F4/6592,
498,JP,019-977-697-145-209,2006-11-24,JP 2006200419 A,2006-07-24,THERMOPLASTIC POLYMER BLENDS OF ISOTACTIC POLYPROPYLENE AND ALPHA-OLEFIN/PROPYLENE COPOLYMERS,EXXONMOBIL CHEM PATENTS INC,,0,2,C08L51/06;;C08F210/06;;C08L23/02;;C08L23/10;;C08L23/12;;C08L23/14;;C08L23/142;;C08L23/16;;C08L53/00;;C08L2205/02;;C08L2205/03;;C08L2314/02;;C08L2314/06;;C08L23/12;;C08F210/06;;C08J2300/22;;C08L23/0815;;C08L23/142;;C08L23/16;;C08L2205/02;;C08L2205/03;;C08L2314/02;;C08L2314/06;;C08L2666/04;;C08L51/06;;C08F210/06;;C08L23/02;;C08L23/10;;C08L23/12;;C08L23/14;;C08L23/142;;C08L23/16;;C08L53/00;;C08L2205/02;;C08L2205/03;;C08L2314/02;;C08L2314/06,C08F210/06;;C08L23/02;;C08L23/10;;C08L23/12;;C08L23/14;;C08L23/16;;C08L51/06;;C08L53/00,
499,US,152-095-908-930-627,2017-11-16,US 201715477359 A,2017-04-03,Methods of Determining Molecular Weight and Comonomer Characteristics of a Copolymer in Polymer Blends,EXXONMOBIL CHEMICAL PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2017-04-04),0,6,G01N30/74;;G01N30/8675;;G01N33/442;;G01N2030/885;;G01N30/74;;B01J20/291;;G01N30/86;;G01N30/8675;;G01N33/442;;G01N2030/885,G01N30/86;;B01J20/281;;G01N30/00;;G01N30/74;;G01N33/44,
500,US,007-644-977-138-061,2011-10-18,US 39826606 A,2006-04-05,Thermoplastic vulcanizates including nanoclays and processes for making the same,EXXONMOBIL CHEM PATENTS INC,SANTOPRENE PRODUCTION PENSACOLA LLC (2021-11-23);;EXXONMOBIL CHEMICAL PATENTS INC (2009-04-20);;ADVANCED ELASTOMER SYSTEMS L.P (2006-04-03);;CELANESE INTERNATIONAL CORPORATION (2021-12-01),32,2,C08L23/16;;C08K9/04;;C08L23/10;;C08L51/06;;C08L2312/00;;C08L23/16;;C08K9/04;;C08L23/10;;C08L51/06;;C08L2312/00,C08K9/00,523/200;;524/445;;525/133;;501/145;;516/100
501,EP,078-856-733-566-799,2020-04-08,EP 18809831 A,2018-04-27,HIGH MELT STRENGTH POLYPROPYLENE WITH HIGH STIFFNESS AND CLARITY,EXXONMOBIL CHEMICAL PATENTS INC,,0,0,C08K5/14;;B29C44/50;;B29C44/54;;B29C48/0012;;B29C48/0017;;B29K2023/12;;C08F210/06;;C08F10/06;;C08F2/38;;C08F210/06;;C08F2500/12;;C08J9/04;;C08J2323/10;;C08L23/14;;B29C48/0012;;B29C48/022;;B29K2023/12;;B29K2105/0067;;C08L23/0815;;C08L2201/10;;C08L2203/30;;C08L2314/02,C08F10/06;;C08F2/38;;C08F210/06;;C08J9/04,
502,WO,105-014-863-844-992,2009-10-08,US 2008/0080434 W,2008-10-20,ISOTACTIC POLYPROPYLENE PRODUCED FROM SUPERCRITICAL POLYMERIZATION PROCESS,EXXONMOBIL CHEM PATENTS INC;;EXXONMOBIL RES & ENG CO;;MEHTA ASPY K;;VARMA-NAIR MANIKA;;KISS GABOR;;BRANT PATRICK;;REYNOLDS ROBERT P;;CHU JOHN W;;RUCKER STEVEN P;;JIANG PEIJUN,,36,4,C08F110/06;;C08F4/65908;;C08F4/65912;;C08F10/00;;C08F10/06;;Y02P20/54;;C08F110/06;;C08F4/65908;;C08F4/65912;;C08F10/00;;C08F10/06;;Y02P20/54,C08F110/06;;C08F2/06;;C08F4/6592,
503,US,098-174-219-506-31X,2018-11-27,US 201715477359 A,2017-04-03,Methods of determining molecular weight and comonomer characteristics of a copolymer in polymer blends,EXXONMOBIL CHEMICAL PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2017-04-04),2,5,G01N30/74;;G01N30/8675;;G01N33/442;;G01N2030/885;;G01N30/74;;B01J20/291;;G01N30/86;;G01N30/8675;;G01N33/442;;G01N2030/885,G06F11/00;;B01J20/281;;G01N30/00;;G01N30/74;;G01N30/86;;G01N30/88;;G01N33/44,
504,EP,087-701-132-322-57X,2012-04-25,EP 06786533 A,2006-07-07,ELASTOMERIC COMPOSITIONS,EXXONMOBIL CHEM PATENTS INC,,0,0,C08L23/02;;C08L23/00;;C08L23/04;;C08L23/0815;;C08L23/10;;C08L23/12;;C08L23/18;;C08L53/025;;C08L91/00;;C08L2205/03;;C08L2314/06;;C08L23/02;;C08L23/00;;C08L23/04;;C08L23/0815;;C08L23/10;;C08L23/12;;C08L23/18;;C08L53/025;;C08L91/00;;C08L2205/03;;C08L2314/06,C08L53/02;;C08K5/01;;C08L23/00,
505,US,133-455-940-147-656,2019-09-17,US 201415520772 A,2014-11-25,Method of making thermoplastic vulcanizates and thermoplastic vulcanizates made therefrom,EXXONMOBIL CHEMICAL PATENTS INC,SANTOPRENE PRODUCTION PENSACOLA LLC (2021-11-23);;EXXONMOBIL CHEMICAL PATENTS INC (2017-06-14);;CELANESE INTERNATIONAL CORPORATION (2021-12-01),27,0,C08J3/226;;C08J2323/16;;C08J2423/12;;C08K3/22;;C08K2003/2206;;C08K2003/2217;;C08K2003/2227;;C08K2003/2296;;C08L23/12;;C08L23/16;;C08J3/226;;C08J2323/16;;C08J2423/12;;C08K3/22;;C08K2003/2206;;C08K2003/2217;;C08K2003/2227;;C08K2003/2296;;C08L23/12;;C08L23/16;;C08L2205/025,C08J3/22;;C08K3/22;;C08L23/12;;C08L23/16,
506,CN,174-628-972-599-585,2019-03-15,CN 201780044997 A,2017-04-19,"POLYPROPYLENE NONWOVEN FIBERS, FABRICS AND METHODS FOR MAKING SAME",EXXONMOBIL CHEMICAL PATENTS INC,,11,3,D01F6/46;;B32B5/022;;B32B5/028;;B32B5/08;;B32B5/26;;B32B25/10;;B32B25/12;;B32B25/14;;B32B25/16;;B32B25/18;;B32B25/20;;B32B27/12;;B32B27/285;;B32B27/306;;B32B27/32;;B32B27/34;;B32B27/40;;B32B2260/023;;B32B2260/046;;B32B2262/0207;;B32B2262/023;;B32B2262/0238;;B32B2262/0253;;B32B2262/0261;;B32B2262/0284;;B32B2262/0292;;B32B2262/04;;B32B2262/062;;B32B2262/067;;B32B2262/12;;B32B2270/00;;B32B2274/00;;B32B2307/51;;B32B2307/54;;B32B2307/736;;B32B2432/00;;B32B2437/00;;B32B2535/00;;B32B2555/02;;D01D5/0985;;D01F6/30;;D04H3/007;;D04H3/14;;D01F6/06;;B32B5/022;;B32B5/26;;B32B2262/0253;;D01D5/08;;D01D5/0985;;D01F6/30;;D01F6/46;;D04H3/007;;D10B2321/022,D04H1/544;;D04H1/4291,
507,WO,159-731-438-685-733,2011-04-21,US 2009/0060510 W,2009-10-13,SLIT FILM TAPE COMPOSITONS FOR IMPROVED TENACITY AND METHODS FOR MAKING SAME,EXXONMOBIL CHEM PATENTS INC;;GUSAIN HARI PRAKASH SINGH;;LEYSEN WILLY JOZEF JOANNA,,2,7,C08J5/18;;C08J2323/10;;C08J2323/16;;D01D5/426;;D01F6/46;;C08J5/18;;C08J2323/10;;C08J2323/16;;D01D5/426;;D01F6/46,C08J5/18;;D01F6/46,
508,US,023-788-636-015-162,2015-10-08,US 201314434808 A,2013-10-08,Articles Comprising Broad Molecular Weight Distribution Polypropylene Resins,EXXONMOBIL CHEM PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2015-08-04),6,20,C08J5/18;;B29C48/0017;;B29C48/022;;B29C48/08;;B29K2023/12;;B29K2105/0085;;B29K2105/0088;;B29K2105/0094;;B29K2995/0077;;B29L2007/008;;B32B27/08;;B32B27/32;;B32B27/327;;B32B2250/24;;B32B2270/00;;B32B2307/51;;B32B2307/54;;B32B2307/558;;B32B2439/70;;C08F10/06;;C08F110/06;;C08F210/06;;C08J2323/12;;C08J2323/14;;C08J5/18;;B29C48/0017;;B29C48/022;;B29C48/08;;B29K2023/12;;B29K2105/0085;;B29K2105/0088;;B29K2105/0094;;B29K2995/0077;;B29L2007/008;;B32B27/08;;B32B27/32;;B32B27/327;;B32B2250/24;;B32B2270/00;;B32B2307/51;;B32B2307/54;;B32B2307/558;;B32B2439/70;;C08F10/06;;C08J2323/12;;C08J2327/12;;C08L2314/02;;C08J5/18;;B29C48/0017;;B29C48/022;;B29C48/08;;B29K2023/12;;B29K2105/0085;;B29K2105/0088;;B29K2105/0094;;B29K2995/0077;;B29L2007/008;;B32B27/08;;B32B27/32;;B32B27/327;;B32B2250/24;;B32B2270/00;;B32B2307/51;;B32B2307/54;;B32B2307/558;;B32B2439/70;;C08F10/06;;C08F110/06;;C08F210/06;;C08J2323/12;;C08J2327/12;;C08L2314/02,C08J5/18;;B29C48/08,
509,EP,147-036-332-461-459,2004-02-18,EP 96933055 A,1996-09-18,HIGH BARRIER POLYPROPYLENE COMPOSITIONS AND THEIR USE IN PACKAGING APPLICATIONS,EXXONMOBIL CHEM PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC. (2001-05-30),2,0,C08J5/18;;C08J2323/14;;Y10S428/91;;Y10T428/31855;;Y10T428/31938;;C08J5/18;;C08L23/16;;C08J5/18;;C08J2323/14;;Y10S428/91;;Y10T428/31855;;Y10T428/31938,C08J5/18;;C08L23/10,
510,US,130-903-615-106-620,2013-08-20,US 48228306 A,2006-07-07,Elastomeric compositions,TSE MUN FU;;MATHEW THOTTINAL ABRAHAM;;LI FENG;;EXXONMOBIL CHEM PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2006-09-20),110,10,C08L23/02;;C08L23/00;;C08L23/04;;C08L23/0815;;C08L23/10;;C08L23/12;;C08L23/18;;C08L53/025;;C08L91/00;;C08L2205/03;;C08L2314/06;;C08L23/02;;C08L23/00;;C08L23/04;;C08L23/0815;;C08L23/10;;C08L23/12;;C08L23/18;;C08L53/025;;C08L91/00;;C08L2205/03;;C08L2314/06,C08K5/01;;C08L23/04;;C08L23/10;;C08L53/02,524/474;;524/490;;524/491;;525/98
511,EP,075-965-919-272-063,2019-07-03,EP 17831458 A,2017-04-19,"POLYPROPYLENE NONWOVEN FIBERS, FABRICS AND METHODS FOR MAKING SAME",EXXONMOBIL CHEMICAL PATENTS INC,,3,0,D01F6/46;;B32B5/022;;B32B5/028;;B32B5/08;;B32B5/26;;B32B25/10;;B32B25/12;;B32B25/14;;B32B25/16;;B32B25/18;;B32B25/20;;B32B27/12;;B32B27/285;;B32B27/306;;B32B27/32;;B32B27/34;;B32B27/40;;B32B2260/023;;B32B2260/046;;B32B2262/0207;;B32B2262/023;;B32B2262/0238;;B32B2262/0253;;B32B2262/0261;;B32B2262/0284;;B32B2262/0292;;B32B2262/04;;B32B2262/062;;B32B2262/067;;B32B2262/12;;B32B2270/00;;B32B2274/00;;B32B2307/51;;B32B2307/54;;B32B2307/736;;B32B2432/00;;B32B2437/00;;B32B2535/00;;B32B2555/02;;D01D5/0985;;D01F6/30;;D04H3/007;;D04H3/14;;D01F6/06;;B32B5/022;;B32B5/26;;B32B2262/0253;;D01D5/08;;D01D5/0985;;D01F6/30;;D01F6/46;;D04H3/007;;D10B2321/022,D01F6/46;;B32B27/12;;D01D5/098;;D04H3/007,
512,EP,132-541-849-001-01X,2010-09-29,EP 08873769 A,2008-10-20,ISOTACTIC POLYPROPYLENE PRODUCED FROM SUPERCRITICAL POLYMERIZATION PROCESS,EXXONMOBIL CHEM PATENTS INC;;EXXONMOBIL RES & ENG CO,,0,7,C08F110/06;;C08F4/65908;;C08F4/65912;;C08F10/00;;C08F10/06;;Y02P20/54;;C08F110/06;;C08F4/65908;;C08F4/65912;;C08F10/00;;C08F10/06;;Y02P20/54,C08F110/06;;C08F2/06;;C08F4/6592,
513,EP,055-546-247-433-124,2005-08-31,EP 03781984 A,2003-11-19,HIGH TEMPERATURE BULK POLYMERIZATION OF BRANCHED CRYSTALLINE POLYPROPYLENE,EXXONMOBIL CHEM PATENTS INC,,0,0,C08F110/06;;C08F10/06;;Y10S526/943;;C08F110/06;;C08F10/06;;Y10S526/943,C08F2/06;;C08F10/06;;C08F110/06,
514,EP,115-403-874-972-131,2017-12-13,EP 16704965 A,2016-01-21,STABILIZED BALANCED MELT STRENGTH AND STRAIN HARDENED POLYPROPYLENE,EXXONMOBIL CHEMICAL PATENTS INC,,0,1,C08K5/1545;;C08F110/06;;C08J9/04;;C08J2323/10;;C08K5/005;;C08K5/14;;C08K5/14;;C08K5/005;;C08K5/1545;;C08L23/16;;C08L23/10;;C08F110/06;;C08F2500/04;;C08F2500/09;;C08F2500/11;;C08F2500/12;;C08F2500/17;;C08K5/005;;C08K5/14;;C08K5/1545;;C08L23/16;;C08K5/14;;C08F110/06;;C08F2500/04;;C08F2500/09;;C08F2500/11;;C08F2500/12;;C08F2500/17;;C08K5/005;;C08K5/1545;;C08L23/10;;C08L23/16;;C08L23/30,C08K5/00;;C08F110/06;;C08J9/04;;C08K5/14;;C08K5/1545;;C08L23/10,
515,AU,039-205-853-212-254,2004-06-30,AU 2003/287683 A,2003-11-19,HIGH TEMPERATURE BULK POLYMERIZATION OF BRANCHED CRYSTALLINE POLYPROPYLENE,EXXONMOBIL CHEM PATENTS INC,,0,0,C08F110/06;;C08F10/06;;Y10S526/943;;C08F110/06;;C08F10/06;;Y10S526/943,C08F2/06;;C08F10/06;;C08F110/06,
516,CN,025-996-844-138-254,2011-02-02,CN 200580005959 A,2005-01-31,Process of making polypropylene from intermediate grade propylene,EXXONMOBIL CHEM PATENTS INC,,0,0,C08F110/06;;C08F6/001;;C08F110/06;;C08F6/001,C08F110/06;;C08F2/00,
517,EA,194-087-432-193-169,2008-04-28,EA 200601530 A,2005-01-31,PROCESS OF MAKING POLYPROPYLENE FROM INTERMEDIATE GRADE PROPYLENE,EXXONMOBIL CHEM PATENTS INC,,6,0,C08F110/06;;C08F6/001;;C08F110/06;;C08F6/001,C08F110/06;;C08F2/00,
518,US,068-084-252-209-723,2019-04-09,US 201715658134 A,2017-07-24,Vulcanized polymer blends,EXXONMOBIL CHEMICAL PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2014-07-10),138,0,C08L23/12;;C08L23/10;;C08L23/145;;C08L23/16;;C08L2312/00;;C08L2314/06;;C08L47/00;;C08L23/10;;C08L23/12;;C08L23/145;;C08L23/16;;C08L2312/00;;C08L2314/06,C08L23/10;;C08L23/12;;C08L23/14;;C08L23/16;;C08L47/00,
519,WO,010-150-359-898-045,2018-01-25,US 2017/0028267 W,2017-04-19,"POLYPROPYLENE NONWOVEN FIBERS, FABRICS AND METHODS FOR MAKING SAME",EXXONMOBIL CHEMICAL PATENTS INC,,5,2,D01F6/06;;B32B5/022;;B32B5/028;;B32B5/06;;B32B5/08;;B32B5/26;;B32B7/05;;B32B7/09;;B32B7/12;;B32B25/10;;B32B25/12;;B32B25/14;;B32B25/16;;B32B25/18;;B32B25/20;;B32B27/12;;B32B27/302;;B32B27/304;;B32B27/306;;B32B27/32;;B32B27/322;;B32B27/34;;B32B27/36;;B32B27/365;;B32B27/40;;B32B2250/20;;B32B2255/02;;B32B2255/26;;B32B2260/023;;B32B2260/046;;B32B2262/0207;;B32B2262/0215;;B32B2262/0223;;B32B2262/023;;B32B2262/0238;;B32B2262/0253;;B32B2262/0261;;B32B2262/0276;;B32B2262/0284;;B32B2262/0292;;B32B2262/04;;B32B2262/062;;B32B2262/067;;B32B2262/12;;B32B2262/14;;B32B2270/00;;B32B2307/3065;;B32B2307/4026;;B32B2307/51;;B32B2307/54;;B32B2307/726;;B32B2307/736;;B32B2307/746;;B32B2307/75;;B32B2432/00;;B32B2437/00;;B32B2535/00;;B32B2555/00;;B32B2555/02;;D01F6/30;;D01F6/46;;D04H3/007,D04H1/544;;D04H1/4291,
520,EP,058-934-598-532-080,2006-11-22,EP 05712414 A,2005-01-31,PROCESS OF MAKING POLYPROPYLENE FROM INTERMEDIATE GRADE PROPYLENE,EXXONMOBIL CHEM PATENTS INC,,0,3,C08F110/06;;C08F6/001;;C08F110/06;;C08F6/001,C08F110/06;;C08F2/00,
521,WO,100-282-031-810-983,2010-08-05,US 2009/0069042 W,2009-12-21,POLYPROPYLENE NONWOVEN FIBERS AND FABRICS AND METHODS FOR MAKING SAME,EXXONMOBIL CHEM PATENTS INC;;FERRY WILLIAM M;;KACKER SMITA;;GEORJON OLIVIER J,,16,39,B32B5/26;;B32B5/02;;B32B5/022;;B32B5/028;;B32B5/04;;B32B5/06;;B32B5/08;;B32B5/22;;B32B25/042;;B32B25/10;;B32B25/12;;B32B25/14;;B32B27/08;;B32B27/12;;B32B27/18;;B32B27/20;;B32B27/302;;B32B27/304;;B32B27/306;;B32B27/32;;B32B27/322;;B32B27/34;;B32B27/36;;B32B27/365;;B32B27/40;;B32B2260/023;;B32B2260/046;;B32B2262/02;;B32B2262/0215;;B32B2262/023;;B32B2262/0238;;B32B2262/0253;;B32B2262/0261;;B32B2262/0276;;B32B2262/0292;;B32B2262/04;;B32B2262/067;;B32B2262/12;;B32B2262/14;;B32B2270/00;;B32B2274/00;;B32B2307/50;;B32B2307/514;;B32B2307/54;;B32B2307/718;;B32B2432/00;;B32B2437/00;;B32B2535/00;;B32B2555/00;;B32B2555/02;;C08F10/06;;C08F110/06;;C08F210/16;;D01D5/0985;;D01F6/06;;Y10T442/10;;Y10T442/608;;Y10T442/66;;Y10T442/681;;D04H1/56;;B32B5/02;;B32B5/022;;B32B5/028;;B32B5/04;;B32B5/06;;B32B5/08;;B32B5/22;;B32B5/26;;B32B25/042;;B32B25/10;;B32B25/12;;B32B25/14;;B32B27/08;;B32B27/12;;B32B27/18;;B32B27/20;;B32B27/302;;B32B27/304;;B32B27/306;;B32B27/32;;B32B27/322;;B32B27/34;;B32B27/36;;B32B27/365;;B32B27/40;;B32B2260/023;;B32B2260/046;;B32B2262/02;;B32B2262/0215;;B32B2262/023;;B32B2262/0238;;B32B2262/0253;;B32B2262/0261;;B32B2262/0276;;B32B2262/0292;;B32B2262/04;;B32B2262/067;;B32B2262/12;;B32B2262/14;;B32B2270/00;;B32B2274/00;;B32B2307/50;;B32B2307/514;;B32B2307/54;;B32B2307/718;;B32B2323/10;;B32B2432/00;;B32B2437/00;;B32B2535/00;;B32B2555/00;;B32B2555/02;;C08F10/06;;C08F110/06;;C08F210/16;;D01D5/0985;;D01F6/06;;D04H1/4291;;D04H1/724;;Y10T442/10;;Y10T442/608;;Y10T442/66;;Y10T442/681,C08F10/06;;B32B27/32;;D01F6/06,
522,US,112-905-969-194-96X,2018-01-11,US 201715658134 A,2017-07-24,Vulcanized Polymer Blends,EXXONMOBIL CHEMICAL PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2014-07-10),0,0,C08L23/12;;C08L23/10;;C08L23/145;;C08L23/16;;C08L2312/00;;C08L2314/06;;C08L47/00;;C08L23/10;;C08L23/12;;C08L23/145;;C08L23/16;;C08L2312/00;;C08L2314/06,C08L47/00;;C08L23/10;;C08L23/12;;C08L23/14;;C08L23/16,
523,US,106-491-575-949-325,2012-08-21,US 94175310 A,2010-11-08,Thermoset compositions with dispersed thermoplastic resin therein and process for making them,BLOK EDWARD J;;ELLUL MARIA D;;JACOB SUNNY;;PICKETT ALFRED V;;EXXONMOBIL CHEM PATENTS INC,SANTOPRENE PRODUCTION PENSACOLA LLC (2021-11-23);;EXXONMOBIL CHEMICAL PATENTS INC (2011-01-10);;CELANESE INTERNATIONAL CORPORATION (2021-12-01),43,5,C08L23/16;;C08L23/10;;C08L2312/08;;C08L23/16;;C08L23/10;;C08L2312/08,C08F8/00;;C08L9/00;;C08L23/10;;C08L45/00,525/191;;525/210;;525/232;;525/240
524,WO,055-666-562-852-245,2007-01-25,US 2006/0026408 W,2006-07-07,ELASTOMERIC COMPOSITIONS,EXXONMOBIL CHEM PATENTS INC;;TSE MUN FU;;MATHEW THOTTINAL A;;LI JAMES,,7,3,C08L23/02;;C08L23/00;;C08L23/04;;C08L23/0815;;C08L23/10;;C08L23/12;;C08L23/18;;C08L53/025;;C08L91/00;;C08L2205/03;;C08L2314/06;;C08L23/02;;C08L23/00;;C08L23/04;;C08L23/0815;;C08L23/10;;C08L23/12;;C08L23/18;;C08L53/025;;C08L91/00;;C08L2205/03;;C08L2314/06,C08L53/02;;C08K5/01;;C08L23/00,
525,WO,013-263-097-439-331,2011-03-17,US 2009/0069042 W,2009-12-21,POLYPROPYLENE NONWOVEN FIBERS AND FABRICS AND METHODS FOR MAKING SAME,EXXONMOBIL CHEM PATENTS INC;;FERRY WILLIAM M;;KACKER SMITA;;GEORJON OLIVIER J,,0,1,B32B5/26;;B32B5/02;;B32B5/022;;B32B5/028;;B32B5/04;;B32B5/06;;B32B5/08;;B32B5/22;;B32B25/042;;B32B25/10;;B32B25/12;;B32B25/14;;B32B27/08;;B32B27/12;;B32B27/18;;B32B27/20;;B32B27/302;;B32B27/304;;B32B27/306;;B32B27/32;;B32B27/322;;B32B27/34;;B32B27/36;;B32B27/365;;B32B27/40;;B32B2260/023;;B32B2260/046;;B32B2262/02;;B32B2262/0215;;B32B2262/023;;B32B2262/0238;;B32B2262/0253;;B32B2262/0261;;B32B2262/0276;;B32B2262/0292;;B32B2262/04;;B32B2262/067;;B32B2262/12;;B32B2262/14;;B32B2270/00;;B32B2274/00;;B32B2307/50;;B32B2307/514;;B32B2307/54;;B32B2307/718;;B32B2432/00;;B32B2437/00;;B32B2535/00;;B32B2555/00;;B32B2555/02;;C08F10/06;;C08F110/06;;C08F210/16;;D01D5/0985;;D01F6/06;;Y10T442/10;;Y10T442/608;;Y10T442/66;;Y10T442/681;;D04H1/56;;B32B5/02;;B32B5/022;;B32B5/028;;B32B5/04;;B32B5/06;;B32B5/08;;B32B5/22;;B32B5/26;;B32B25/042;;B32B25/10;;B32B25/12;;B32B25/14;;B32B27/08;;B32B27/12;;B32B27/18;;B32B27/20;;B32B27/302;;B32B27/304;;B32B27/306;;B32B27/32;;B32B27/322;;B32B27/34;;B32B27/36;;B32B27/365;;B32B27/40;;B32B2260/023;;B32B2260/046;;B32B2262/02;;B32B2262/0215;;B32B2262/023;;B32B2262/0238;;B32B2262/0253;;B32B2262/0261;;B32B2262/0276;;B32B2262/0292;;B32B2262/04;;B32B2262/067;;B32B2262/12;;B32B2262/14;;B32B2270/00;;B32B2274/00;;B32B2307/50;;B32B2307/514;;B32B2307/54;;B32B2307/718;;B32B2323/10;;B32B2432/00;;B32B2437/00;;B32B2535/00;;B32B2555/00;;B32B2555/02;;C08F10/06;;C08F110/06;;C08F210/16;;D01D5/0985;;D01F6/06;;D04H1/4291;;D04H1/724;;Y10T442/10;;Y10T442/608;;Y10T442/66;;Y10T442/681,C08F10/06;;B32B27/32;;D01F6/06,
526,US,062-456-852-596-962,2010-10-05,US 96158307 A,2007-12-20,Isotactic polypropylene produced from supercritical polymerization process,EXXONMOBIL CHEM PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2008-01-09);;EXXONMOBIL RESEARCH AND ENGINEERING COMPANY (2008-01-09),46,17,C08F110/06;;C08F4/65908;;C08F4/65912;;C08F10/00;;C08F10/06;;Y02P20/54;;C08F110/06;;C08F4/65908;;C08F4/65912;;C08F10/00;;C08F10/06;;Y02P20/54,C08F110/06;;C08F2/06;;C08F4/6592,526/351;;526/73;;526/134;;526/160
