"#",Jurisdiction,Lens ID,Publication Date,Application Number,Application Date,Title,Applicants,Owners,Cites Patent Count,Cited by Patent Count,CPC Classifications,IPCR Classifications,US Classifications
1154,US,119-199-824-131-078,2018-10-11,US 201615573937 A,2016-05-10,IMPROVED DIELECTRIC STRENGTH COMPOSITIONS,SABIC GLOBAL TECHNOLOGIES BV,SABIC GLOBAL TECHNOLOGIES B.V (2015-09-21),3,0,C08L79/08;;B33Y70/00;;B33Y70/10;;C08L2207/062;;C08L2207/068;;C08L79/08;;B33Y70/00;;B33Y70/10;;C08K3/04;;C08L23/06;;C08L79/08;;B29C33/62;;B33Y70/00;;B33Y70/10;;C08L23/06;;C08L2203/20;;C08L79/08;;B29C45/0001;;B29K2079/085;;B29K2507/04;;B29K2995/0006;;B33Y70/00;;B33Y70/10;;C08K3/04;;C08L23/06;;C08L2207/062,C08L79/08;;B29C45/00,
1155,US,064-564-648-260-899,2019-11-14,US 201716461439 A,2017-12-21,MULTI-LAYER FILM,SABIC GLOBAL TECHNOLOGIES BV,SABIC GLOBAL TECHNOLOGIES B.V (2019-05-24),2,2,B32B7/02;;B32B27/08;;B32B27/32;;B32B2250/05;;B32B2250/242;;B32B2270/00;;B32B2307/30;;B32B2307/558;;B32B2307/72;;B32B2410/00;;B32B2553/00;;A01F2015/0745;;B32B7/022;;B29C48/08;;B29C48/21;;B29C48/0018;;A01F25/13;;B29K2023/0633;;B29K2023/08;;B29K2105/0094;;B29K2995/0063;;B32B27/08;;B32B27/32;;B32B2250/05;;B32B2250/242;;B32B2307/72;;B32B2307/732;;B32B2410/00;;B32B7/02,B32B7/022;;A01F25/13;;B29C48/00;;B29C48/08;;B29C48/21;;B32B7/02;;B32B27/08;;B32B27/32,
1156,US,079-801-832-559-605,2019-06-27,US 201716318934 A,2017-07-10,CUTTING MODULE AND METHOD FOR CUTTING A STRAND INTO INDIVIDUAL PIECES,SABIC GLOBAL TECHNOLOGIES BV,SABIC GLOBAL TECHNOLOGIES B.V (2019-01-21),0,2,B02C18/144;;B02C18/186;;B26D1/40;;B02C18/144;;B02C18/18;;B02C18/186;;B26D1/40,B02C18/14;;B02C18/18,
1157,US,041-522-729-896-848,2014-05-08,US 201213672361 A,2012-11-08,"METHODS OF MAKING POLYURETHANE COATED ARTICLES, AND ARTICLES MADE THEREFROM",SABIC INNOVATIVE PLASTICS IP,SABIC GLOBAL TECHNOLOGIES B.V (2012-11-08),4,3,C08G18/73;;C08G18/48;;C08G2290/00;;C09D175/04;;C09D175/04;;C08G18/48;;C08G18/73;;C08G2290/00;;C09D175/04;;C08G18/48;;C08G18/73;;C08G2290/00,C09D175/04,524/871;;427/393.5
1158,EP,153-186-057-043-172,2024-05-22,EP 20713682 A,2020-03-31,SENSOR BASED ON A POLYOLEFIN MATRIX AND A SENSING COMPOUND,SABIC GLOBAL TECHNOLOGIES BV,,5,0,G01N31/22;;C08F4/65927;;C08F4/65912;;C08F4/6592;;C08F210/06;;G01N31/22;;C08F210/02;;C08F210/06;;C08F210/14;;C08F210/16;;B65D79/00;;C08F210/02;;C08F210/06;;G01N31/221;;G01N31/225,C08F4/639;;C08F4/659;;C08F4/6592;;C08F210/02;;C08F210/06;;G01N31/22,
1159,WO,149-904-325-495-01X,2018-01-25,EP 2017067281 W,2017-07-10,CUTTING MODULE AND METHOD FOR CUTTING A STRAND INTO INDIVIDUAL PIECES,SABIC GLOBAL TECHNOLOGIES BV,,9,0,B02C18/144;;B02C18/186;;B26D1/40;;B02C18/144;;B02C18/18;;B02C18/186;;B26D1/40,B02C18/14;;B02C18/18;;B26D1/40;;B26D7/20,
1160,US,167-061-351-466-650,2022-02-22,US 201716340941 A,2017-10-11,Process to prepare a solid support for a procatalyst suitable for polymerization of olefins,SABIC GLOBAL TECHNOLOGIES BV,SABIC GLOBAL TECHNOLOGIES B.V (2017-04-20),25,0,C08F110/06;;B01J19/006;;B01J19/0066;;C08F110/06;;B01J2219/00189;;B01J2219/00768;;B01J2219/00779;;C08F2410/06;;B01F27/191;;B01F27/86;;B01F27/91;;B01F35/5312;;C08F110/06;;B01J2219/00189;;B01J19/006;;B01J2219/00768;;B01J19/0066;;B01J2219/00779;;B01F27/91;;B01F35/5312;;B01F2215/0481;;B01J37/04;;C08F2/34;;C08F4/022;;C08F4/6548;;C08F4/6565;;C08F4/65916;;C08F2500/15;;C08F2500/18,C08F4/02;;B01J19/00;;B01J37/04;;C08F2/34;;C08F4/654;;C08F4/656;;C08F4/659;;C08F110/06,
1161,WO,014-792-560-099-27X,2017-07-06,US 2016/0068793 W,2016-12-28,"MEASUREMENT, DIMENSIONAL CONTROL AND TREATMENT OF A FILAMENT",SABIC GLOBAL TECHNOLOGIES BV;;HOCKER THOMAS,,5,0,B29C48/02;;B29C48/14;;B29C48/266;;B29C48/92;;B29C64/106;;B29C64/118;;B29C64/236;;B29C2948/92114;;B33Y50/02;;B33Y70/00;;B29C48/02;;B29C48/14;;B29C48/266;;B29C48/92;;B29C64/118;;B29C64/236;;B29C64/393;;B29C2948/92114;;B33Y10/00;;B33Y50/02;;B33Y70/00,B29C67/00;;B33Y40/00,
1162,WO,180-940-427-353-84X,2024-12-19,EP 2024066410 W,2024-06-13,ENCAPSULANT FILM BASED ON FUNCTIONALIZED POLYOLEFINS,SABIC GLOBAL TECHNOLOGIES BV,,4,0,C08J5/18;;C08J2323/08;;C08J2323/14;;C08J2423/08;;C08J2423/14;;H10F19/804,C08J5/18;;H01L31/048,
1163,WO,037-325-300-589-936,2018-08-30,IB 2018051143 W,2018-02-23,METHODS FOR GRAFTING ACRYLATES ONTO POLYMER SURFACES,SABIC GLOBAL TECHNOLOGIES BV,,2,2,C08J7/18;;C08J2323/12;;C08J2333/12;;C08J2367/02;;C08J2369/00;;C08J2433/08;;C08J2433/10;;C08J2433/12;;C09D4/00;;C08J7/18,C08J7/18;;C09D4/00,
1164,EP,095-285-544-624-179,2019-01-09,EP 15798648 A,2015-11-13,DRAG REDUCING AERODYNAMIC VEHICLE COMPONENTS AND METHODS OF MAKING THE SAME,SABIC GLOBAL TECHNOLOGIES BV,SABIC GLOBAL TECHNOLOGIES B.V. (2018-05-02),3,0,B62D35/001;;B62D35/001;;B62D35/001;;B29C45/0001;;B29C45/40;;B29K2009/06;;B29K2023/06;;B29K2023/16;;B29K2023/18;;B29K2025/08;;B29K2027/06;;B29K2055/02;;B29K2067/003;;B29K2067/006;;B29K2077/00;;B29K2081/04;;B29L2031/3058,B62D35/00,
1165,US,067-226-133-312-458,2019-05-09,US 201716096153 A,2017-04-27,Extraction Substrate And Method For Fabrication Thereof,SABIC GLOBAL TECHNOLOGIES BV,SABIC GLOBAL TECHNOLOGIES B.V (2016-05-02),2,3,Y02E10/549;;Y02P70/50;;H10K77/111;;H10K50/854;;H10K50/858;;H10K2102/331;;H10K77/111;;H10K50/854;;H10K50/858;;H10K2102/331;;Y02E10/549;;Y02P70/50;;H10K50/854;;H10K50/858;;H10K71/00;;H10K77/111;;H10K85/111;;H10K85/141;;H10K2102/311;;H10K2102/331;;H10K2102/351,H10K99/00,
1166,US,075-694-368-936-06X,2018-08-09,US 201615750077 A,2016-07-14,PIPE FOR THE TRANSPORT OF WATER HAVING IMPROVED RESISTANCE TO CHLORINATED DISINFECTANTS,SABIC GLOBAL TECHNOLOGIES BV,SABIC GLOBAL TECHNOLOGIES B.V (2018-01-25),3,2,C08K5/134;;C08K5/005;;C08K5/523;;F16L9/12;;C08K5/134;;C07C69/54;;C08K5/005;;C08K5/523;;C08K5/526;;F16L9/12;;F17D3/12,C08K5/134;;C07C69/54;;C08K5/526;;F16L9/12;;F17D3/12,
1167,US,129-066-902-121-160,2020-06-04,US 201816624025 A,2018-08-01,CARBON FIBER TOW WITH IMPROVED PROCESSABILITY,SABIC GLOBAL TECHNOLOGIES BV,,0,1,C08J5/042;;B29B15/122;;C08J2300/22;;C08J2300/24;;D06M15/53;;C08J5/06;;D06M10/10;;D06M2101/40;;D06M2200/40,D06M15/53;;C08J5/06;;D06M10/10,
1168,WO,147-855-888-357-533,2019-06-20,EP 2018082721 W,2018-11-27,ROOF FAIRING FOR A LONG HAUL TRUCK,SABIC GLOBAL TECHNOLOGIES BV,,4,4,B62D35/001;;B62D35/001,B62D35/00,
1169,WO,167-673-415-332-625,2016-04-28,EP 2015073554 W,2015-10-12,"METHOD FOR TRANSPORTING PELLETS, METHOD FOR MANUFACTURING PELLETS, AND METHOD FOR THE MANUFACTURE OF A MODULDED PRODUCT FROM PELLETS",SABIC GLOBAL TECHNOLOGIES BV,,9,4,B29B9/14;;B29B9/06;;B29B9/16;;B29C48/0022;;B29C48/05;;B29C48/154;;B29C48/156;;B29C48/355;;B29K2023/12;;B29K2309/08;;B29B9/14;;B29B9/06;;B29B9/16;;B29C48/0022;;B29C48/05;;B29C48/154;;B29C48/156;;B29C48/355;;B29K2023/12;;B29K2309/08;;C08J3/12;;C08J5/043;;C08J5/08;;C08J2323/12;;B65G15/08;;B29B9/06;;B29B9/14;;B29B9/16;;B29C48/0022;;B29C48/05;;B29C48/154;;B29C48/156;;B29C48/355;;B29K2023/12;;B29K2039/08;;B29K2309/08;;B65G15/46,B29B9/14;;B29B9/06;;B29B9/16;;B29B15/12;;B29C48/05;;B29C48/154;;B29C48/156;;B29C48/355;;B29K23/00;;B65G15/08;;B65G15/40,
1170,WO,109-042-842-820-469,2019-10-03,EP 2019057494 W,2019-03-26,COMPOSITION COMPRISING POLYESTER AND POLYOLEFIN,SABIC GLOBAL TECHNOLOGIES BV,,11,2,C08L67/02;;C08L67/02;;C08L2205/03;;C08L2207/04;;C08L2207/062;;C08L2207/066;;C08L2207/20,C08L67/02,
1171,WO,184-821-589-520-712,2020-05-28,EP 2019082265 W,2019-11-22,EXTERIOR PANEL ASSEMBLY FOR A VEHICLE,SABIC GLOBAL TECHNOLOGIES BV,,5,2,H05B3/84;;H05B2203/032;;H05B3/84;;B60S1/66;;G02B27/0006;;H05B2203/032,H05B1/02;;H05B3/84,
1172,US,165-842-829-575-40X,2018-03-08,US 201615563672 A,2016-03-30,"FLAME RETARDANT COMPOSITION, METHODS OF MANUFACTURE THEREOF AND ARTICLES COMPRISING THE SAME",SABIC GLOBAL TECHNOLOGIES BV,SABIC GLOBAL TECHNOLOGIES B.V (2015-05-04),9,9,C08L69/00;;C08K2003/3045;;C08L2201/02;;C08L2205/025;;C08L2205/03;;C08L69/00;;C08K3/30;;C08K5/0066;;C08K5/3492;;C08K5/49;;C08K2003/3045;;C08L83/04;;C08K5/0066;;C08K3/013;;C08K3/30;;C08K5/3492;;C08K5/49;;C08K9/00;;C08K2003/3045;;C08L69/00;;C08L83/04;;C08L69/00;;B29B7/00;;B29K2069/00;;C08K3/30;;C08K5/0066;;C08K5/13;;C08K5/3492;;C08K5/34922;;C08K5/49;;C08K2003/3045;;C08K2201/005;;C08L83/04;;C08L2666/72;;C08L2666/84,C08L69/00;;B29B7/00;;C08K3/30;;C08K5/00;;C08K5/13;;C08K5/3492;;C08K5/49;;C08L83/04,
1173,US,036-776-090-436-515,2020-04-07,US 201615762157 A,2016-09-22,"Synthesis of substituted amidobenzoate compounds, the compounds obtained and the use thereof as phthalate free internal electron donor for polymerization of olefins",SABIC GLOBAL TECHNOLOGIES BV,SABIC GLOBAL TECHNOLOGIES B.V (2016-09-19),32,0,C07C231/14;;C08F110/06;;C07C233/75;;C07C233/88;;C08F4/6565;;C08F2500/15;;C08F2500/18;;C08F110/06;;C07C231/14;;C07C233/75;;C07C233/88;;C08F4/6565;;C08F2500/15;;C08F2500/18,C08F4/64;;C07C231/14;;C07C233/75;;C07C233/88;;C08F4/52;;C08F4/656;;C08F110/06,
1174,EP,185-027-728-412-526,2018-06-06,EP 15730203 A,2015-06-23,BIMODAL POLYETHYLENE,SABIC GLOBAL TECHNOLOGIES BV,SABIC GLOBAL TECHNOLOGIES B.V. (2018-05-02),4,0,C08L23/0815;;C08F210/16;;C08L2203/18;;C08L2205/025;;C09D123/0815;;F16L58/10;;C08F210/16;;C08L23/0815;;C08L2203/18;;C08L2205/02;;C08L2205/025;;C09D123/0815;;F16L9/12;;F16L9/147;;F16L57/02;;F16L58/10;;C08L23/0815;;C08F210/16;;C08L2203/18;;C08L2205/02;;C08L2205/025;;C09D123/0815;;F16L9/12;;F16L9/147;;F16L57/02;;F16L58/10;;C08L23/0815;;C08F210/16;;C08L2203/18;;C08L2205/02;;C08L2205/025;;C09D123/0815;;F16L9/12;;F16L9/147;;F16L57/02;;F16L58/10,C08F2/00;;C08F210/16;;C08L23/06;;C08L23/08;;C09D123/06;;C09D123/08;;F16L9/12;;F16L9/147;;F16L57/02;;F16L58/10,
1175,US,128-310-793-623-975,2020-03-19,US 201816494462 A,2018-03-14,PROCESS OF MAKING POLYOLEFINS,SABIC GLOBAL TECHNOLOGIES BV,SABIC GLOBAL TECHNOLOGIES B.V (2019-07-29),0,0,C08F110/06;;B01J8/10;;C08F2/01;;B01J8/10;;C08F4/6565;;C08F110/06,C08F2/01;;B01J8/10;;C08F4/656;;C08F110/06,
